date,proxy with javascript enabled
2011-01-01,32
2011-02-01,34
2011-03-01,18
2011-04-01,65
2011-05-01,49
2011-06-01,28
2011-07-01,28
2011-08-01,35
2011-09-01,34
2011-10-01,49
2011-11-01,44
2011-12-01,38
2012-01-01,52
2012-02-01,67
2012-03-01,29
2012-04-01,71
2012-05-01,35
2012-06-01,49
2012-07-01,53
2012-08-01,100
2012-09-01,43
2012-10-01,56
2012-11-01,26
2012-12-01,39
2013-01-01,31
2013-02-01,26
2013-03-01,38
2013-04-01,35
2013-05-01,31
2013-06-01,40
2013-07-01,27
2013-08-01,38
2013-09-01,45
2013-10-01,43
2013-11-01,43
2013-12-01,33
2014-01-01,44
2014-02-01,28
2014-03-01,23
2014-04-01,16
2014-05-01,56
2014-06-01,23
2014-07-01,38
2014-08-01,17
2014-09-01,47
2014-10-01,62
2014-11-01,32
2014-12-01,26
2015-01-01,29
2015-02-01,11
2015-03-01,19
2015-04-01,16
2015-05-01,22
2015-06-01,26
2015-07-01,42
2015-08-01,22
2015-09-01,19
2015-10-01,15
2015-11-01,24
2015-12-01,28
2016-01-01,17
2016-02-01,23
2016-03-01,13
2016-04-01,17
2016-05-01,24
2016-06-01,8
2016-07-01,26
2016-08-01,8
2016-09-01,14
2016-10-01,16
2016-11-01,12
2016-12-01,8
2017-01-01,11
