date,Searching without leaving a history.,most private browser
2011-01-01,0,34
2011-02-01,0,50
2011-03-01,0,38
2011-04-01,0,31
2011-05-01,0,98
2011-06-01,0,47
2011-07-01,0,20
2011-08-01,0,31
2011-09-01,0,66
2011-10-01,0,34
2011-11-01,0,17
2011-12-01,0,60
2012-01-01,0,52
2012-02-01,0,65
2012-03-01,0,72
2012-04-01,0,97
2012-05-01,0,35
2012-06-01,0,31
2012-07-01,0,31
2012-08-01,0,41
2012-09-01,0,30
2012-10-01,0,50
2012-11-01,0,0
2012-12-01,0,60
2013-01-01,0,42
2013-02-01,0,46
2013-03-01,0,49
2013-04-01,0,58
2013-05-01,0,40
2013-06-01,0,46
2013-07-01,0,53
2013-08-01,0,73
2013-09-01,0,48
2013-10-01,0,57
2013-11-01,0,42
2013-12-01,0,73
2014-01-01,0,40
2014-02-01,0,27
2014-03-01,0,63
2014-04-01,0,48
2014-05-01,0,67
2014-06-01,0,65
2014-07-01,0,56
2014-08-01,0,40
2014-09-01,0,95
2014-10-01,0,69
2014-11-01,0,41
2014-12-01,0,84
2015-01-01,0,58
2015-02-01,0,30
2015-03-01,0,54
2015-04-01,0,66
2015-05-01,0,57
2015-06-01,0,45
2015-07-01,0,54
2015-08-01,0,100
2015-09-01,0,49
2015-10-01,0,68
2015-11-01,0,70
2015-12-01,0,78
2016-01-01,0,92
2016-02-01,0,52
2016-03-01,0,83
2016-04-01,0,68
2016-05-01,0,57
2016-06-01,0,56
2016-07-01,0,62
2016-08-01,0,58
2016-09-01,0,87
2016-10-01,0,77
2016-11-01,0,69
2016-12-01,0,58
2017-01-01,0,76
