date,does google track your searches,most private browser
2011-01-01,77,21
2011-02-01,66,55
2011-03-01,39,40
2011-04-01,42,40
2011-05-01,60,40
2011-06-01,71,21
2011-07-01,34,27
2011-08-01,70,38
2011-09-01,62,37
2011-10-01,18,71
2011-11-01,30,18
2011-12-01,29,70
2012-01-01,32,59
2012-02-01,28,61
2012-03-01,42,58
2012-04-01,16,49
2012-05-01,31,31
2012-06-01,21,21
2012-07-01,37,42
2012-08-01,77,46
2012-09-01,72,23
2012-10-01,42,47
2012-11-01,56,14
2012-12-01,33,66
2013-01-01,39,43
2013-02-01,35,47
2013-03-01,19,42
2013-04-01,56,47
2013-05-01,12,41
2013-06-01,21,51
2013-07-01,33,80
2013-08-01,37,67
2013-09-01,16,29
2013-10-01,50,50
2013-11-01,24,55
2013-12-01,36,92
2014-01-01,26,55
2014-02-01,30,56
2014-03-01,38,51
2014-04-01,17,41
2014-05-01,17,80
2014-06-01,29,59
2014-07-01,12,66
2014-08-01,49,74
2014-09-01,20,94
2014-10-01,34,63
2014-11-01,27,61
2014-12-01,30,86
2015-01-01,26,70
2015-02-01,11,49
2015-03-01,24,42
2015-04-01,21,82
2015-05-01,17,66
2015-06-01,21,64
2015-07-01,10,77
2015-08-01,24,100
2015-09-01,13,81
2015-10-01,19,68
2015-11-01,26,82
2015-12-01,27,93
2016-01-01,9,60
2016-02-01,28,66
2016-03-01,18,64
2016-04-01,18,67
2016-05-01,18,94
2016-06-01,24,85
2016-07-01,37,83
2016-08-01,18,63
2016-09-01,18,77
2016-10-01,14,79
2016-11-01,17,65
2016-12-01,28,85
2017-01-01,21,97
