date,instagram safety
2011-01-01,0
2011-02-01,3
2011-03-01,0
2011-04-01,3
2011-05-01,0
2011-06-01,3
2011-07-01,7
2011-08-01,4
2011-09-01,0
2011-10-01,2
2011-11-01,4
2011-12-01,5
2012-01-01,6
2012-02-01,6
2012-03-01,7
2012-04-01,11
2012-05-01,7
2012-06-01,10
2012-07-01,22
2012-08-01,21
2012-09-01,23
2012-10-01,21
2012-11-01,28
2012-12-01,27
2013-01-01,36
2013-02-01,50
2013-03-01,46
2013-04-01,33
2013-05-01,40
2013-06-01,38
2013-07-01,50
2013-08-01,48
2013-09-01,42
2013-10-01,55
2013-11-01,57
2013-12-01,47
2014-01-01,58
2014-02-01,62
2014-03-01,58
2014-04-01,55
2014-05-01,67
2014-06-01,61
2014-07-01,59
2014-08-01,67
2014-09-01,73
2014-10-01,72
2014-11-01,84
2014-12-01,67
2015-01-01,76
2015-02-01,85
2015-03-01,74
2015-04-01,83
2015-05-01,81
2015-06-01,80
2015-07-01,72
2015-08-01,69
2015-09-01,87
2015-10-01,84
2015-11-01,77
2015-12-01,70
2016-01-01,82
2016-02-01,93
2016-03-01,84
2016-04-01,75
2016-05-01,77
2016-06-01,84
2016-07-01,69
2016-08-01,86
2016-09-01,89
2016-10-01,95
2016-11-01,100
2016-12-01,69
2017-01-01,96
