Date,anonymous web proxy,charles web proxy,cloud free web proxy,daily web proxies,free proxy browser,free proxy lists,free proxy online,free proxy software,free proxy web,free proxy website,free proxy websites,free proxy youtube,free web proxy list,internet proxy,online web proxy,proxy web browser,proxy web,uk web proxy,unblock web proxy,us web proxy,web proxies,web proxy free,web proxy list,web proxy server,web proxy sites,webproxy.com,www.kproxy.com,youtube free proxy,zalmos web proxy
2011-01-01,65.0,12.0,0.0,14.0,22.0,100.0,78.0,80.0,90.0,26.0,62.0,34.0,20.0,100.0,79.0,85.0,98.0,21.0,12.0,24.0,35.0,90.0,88.0,100.0,50.0,0.0,100.0,34.0,0.0
2011-02-01,39.0,62.0,0.0,44.0,23.0,43.0,69.0,75.0,100.0,83.0,100.0,28.0,20.0,89.0,83.0,44.0,97.0,44.0,5.0,26.0,58.0,100.0,100.0,56.0,45.0,0.0,26.0,28.0,0.0
2011-03-01,70.0,34.0,0.0,31.0,42.0,43.0,69.0,67.0,85.0,100.0,53.0,14.0,37.0,82.0,43.0,73.0,100.0,40.0,5.0,24.0,77.0,85.0,83.0,73.0,95.0,0.0,47.0,14.0,0.0
2011-04-01,83.0,82.0,0.0,28.0,100.0,43.0,94.0,89.0,83.0,59.0,67.0,34.0,19.0,79.0,90.0,21.0,93.0,42.0,7.0,24.0,62.0,83.0,44.0,64.0,22.0,74.0,100.0,34.0,0.0
2011-05-01,62.0,23.0,0.0,45.0,85.0,68.0,100.0,94.0,74.0,70.0,64.0,43.0,56.0,89.0,97.0,61.0,95.0,100.0,7.0,24.0,91.0,74.0,49.0,75.0,28.0,0.0,72.0,43.0,0.0
2011-06-01,64.0,70.0,0.0,14.0,33.0,71.0,77.0,97.0,60.0,33.0,44.0,56.0,58.0,70.0,45.0,49.0,89.0,62.0,3.0,24.0,50.0,60.0,87.0,69.0,57.0,0.0,25.0,56.0,0.0
2011-07-01,82.0,35.0,0.0,9.0,87.0,14.0,57.0,43.0,56.0,52.0,16.0,15.0,57.0,81.0,22.0,55.0,94.0,20.0,3.0,24.0,39.0,56.0,57.0,75.0,56.0,0.0,23.0,15.0,0.0
2011-08-01,51.0,33.0,0.0,9.0,31.0,26.0,45.0,74.0,69.0,37.0,47.0,42.0,36.0,71.0,42.0,78.0,86.0,19.0,4.0,22.0,31.0,69.0,20.0,55.0,60.0,0.0,23.0,42.0,0.0
2011-09-01,58.0,42.0,0.0,8.0,60.0,13.0,98.0,80.0,70.0,53.0,60.0,47.0,53.0,81.0,50.0,51.0,88.0,36.0,4.0,22.0,34.0,70.0,39.0,63.0,58.0,0.0,22.0,47.0,0.0
2011-10-01,87.0,40.0,0.0,32.0,57.0,37.0,85.0,76.0,81.0,62.0,57.0,67.0,100.0,76.0,58.0,36.0,89.0,53.0,5.0,21.0,45.0,81.0,100.0,65.0,37.0,0.0,21.0,67.0,0.0
2011-11-01,40.0,62.0,0.0,82.0,97.0,37.0,70.0,77.0,72.0,40.0,54.0,43.0,85.0,86.0,59.0,43.0,83.0,17.0,3.0,21.0,65.0,72.0,57.0,96.0,38.0,0.0,21.0,43.0,0.0
