date,Gmail privacy policy
2011-01-01,24
2011-02-01,10
2011-03-01,14
2011-04-01,12
2011-05-01,14
2011-06-01,24
2011-07-01,12
2011-08-01,11
2011-09-01,19
2011-10-01,21
2011-11-01,15
2011-12-01,20
2012-01-01,61
2012-02-01,100
2012-03-01,64
2012-04-01,26
2012-05-01,16
2012-06-01,9
2012-07-01,9
2012-08-01,11
2012-09-01,18
2012-10-01,14
2012-11-01,25
2012-12-01,16
2013-01-01,13
2013-02-01,25
2013-03-01,7
2013-04-01,19
2013-05-01,18
2013-06-01,22
2013-07-01,17
2013-08-01,31
2013-09-01,4
2013-10-01,25
2013-11-01,26
2013-12-01,28
2014-01-01,19
2014-02-01,28
2014-03-01,20
2014-04-01,23
2014-05-01,22
2014-06-01,15
2014-07-01,16
2014-08-01,29
2014-09-01,12
2014-10-01,23
2014-11-01,25
2014-12-01,21
2015-01-01,21
2015-02-01,17
2015-03-01,18
2015-04-01,25
2015-05-01,20
2015-06-01,20
2015-07-01,12
2015-08-01,12
2015-09-01,25
2015-10-01,18
2015-11-01,19
2015-12-01,13
2016-01-01,27
2016-02-01,24
2016-03-01,15
2016-04-01,11
2016-05-01,19
2016-06-01,26
2016-07-01,23
2016-08-01,21
2016-09-01,21
2016-10-01,20
2016-11-01,18
2016-12-01,17
2017-01-01,26
