date,anonymous browsing chrome,search without history
2011-01-01,12,53
2011-02-01,22,37
2011-03-01,14,27
2011-04-01,31,35
2011-05-01,16,29
2011-06-01,15,44
2011-07-01,16,48
2011-08-01,24,30
2011-09-01,13,51
2011-10-01,24,33
2011-11-01,26,49
2011-12-01,21,29
2012-01-01,38,38
2012-02-01,20,52
2012-03-01,19,42
2012-04-01,27,56
2012-05-01,34,43
2012-06-01,33,53
2012-07-01,35,52
2012-08-01,30,53
2012-09-01,21,48
2012-10-01,19,55
2012-11-01,14,41
2012-12-01,22,46
2013-01-01,26,60
2013-02-01,22,55
2013-03-01,17,59
2013-04-01,27,47
2013-05-01,23,43
2013-06-01,33,67
2013-07-01,26,52
2013-08-01,26,69
2013-09-01,27,70
2013-10-01,29,59
2013-11-01,26,66
2013-12-01,28,51
2014-01-01,13,62
2014-02-01,20,66
2014-03-01,29,64
2014-04-01,15,67
2014-05-01,18,57
2014-06-01,24,61
2014-07-01,24,65
2014-08-01,23,53
2014-09-01,22,72
2014-10-01,24,95
2014-11-01,30,60
2014-12-01,13,78
2015-01-01,24,87
2015-02-01,25,55
2015-03-01,22,74
2015-04-01,21,80
2015-05-01,16,77
2015-06-01,17,72
2015-07-01,29,72
2015-08-01,26,75
2015-09-01,23,76
2015-10-01,19,74
2015-11-01,19,72
2015-12-01,24,77
2016-01-01,24,75
2016-02-01,17,100
2016-03-01,14,84
2016-04-01,17,85
2016-05-01,11,70
2016-06-01,20,83
2016-07-01,16,75
2016-08-01,18,95
2016-09-01,13,84
2016-10-01,18,73
2016-11-01,16,76
2016-12-01,18,73
2017-01-01,13,96
