date,delete history on android,search without history
2011-01-01,16,9
2011-02-01,13,8
2011-03-01,18,5
2011-04-01,21,6
2011-05-01,20,5
2011-06-01,30,8
2011-07-01,26,10
2011-08-01,25,5
2011-09-01,25,10
2011-10-01,25,7
2011-11-01,38,9
2011-12-01,52,6
2012-01-01,39,6
2012-02-01,38,9
2012-03-01,38,9
2012-04-01,43,9
2012-05-01,50,8
2012-06-01,54,8
2012-07-01,66,11
2012-08-01,67,8
2012-09-01,68,8
2012-10-01,76,9
2012-11-01,63,7
2012-12-01,70,9
2013-01-01,59,11
2013-02-01,63,11
2013-03-01,61,12
2013-04-01,49,8
2013-05-01,66,9
2013-06-01,79,13
2013-07-01,62,10
2013-08-01,84,11
2013-09-01,62,13
2013-10-01,66,11
2013-11-01,61,13
2013-12-01,65,10
2014-01-01,68,10
2014-02-01,59,9
2014-03-01,66,13
2014-04-01,66,12
2014-05-01,70,10
2014-06-01,72,9
2014-07-01,67,14
2014-08-01,65,11
2014-09-01,64,13
2014-10-01,56,16
2014-11-01,63,11
2014-12-01,57,13
2015-01-01,67,15
2015-02-01,64,10
2015-03-01,48,13
2015-04-01,55,13
2015-05-01,51,15
2015-06-01,82,13
2015-07-01,68,13
2015-08-01,70,14
2015-09-01,64,13
2015-10-01,64,14
2015-11-01,68,11
2015-12-01,73,13
2016-01-01,78,12
2016-02-01,78,18
2016-03-01,76,14
2016-04-01,70,15
2016-05-01,71,13
2016-06-01,70,16
2016-07-01,90,15
2016-08-01,81,16
2016-09-01,74,17
2016-10-01,73,13
2016-11-01,77,13
2016-12-01,99,15
2017-01-01,100,16
