date,how to delete a twitter account,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,how to delete twitter,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,8,0,27,1,182,12,0,6,265,0,0,0,33,26,0,0,1,12,6,95,2,0,3,0
2011-02-01,11,0,27,1,144,14,0,6,253,0,0,0,27,26,0,0,1,12,6,100,1,0,3,0
2011-03-01,17,0,30,1,132,10,0,6,289,0,0,0,34,31,0,0,1,23,12,117,2,0,4,1
2011-04-01,14,0,22,2,119,10,0,6,283,0,1,0,28,28,0,0,1,17,12,145,3,0,3,1
2011-05-01,16,0,27,1,139,10,0,6,283,0,1,0,28,36,0,0,1,17,12,145,2,0,3,1
2011-06-01,24,0,33,1,146,14,0,6,377,0,1,0,29,43,1,0,1,23,17,173,1,0,5,1
2011-07-01,30,0,50,2,160,10,0,6,430,0,1,0,33,55,1,0,2,28,17,206,3,1,8,1
2011-08-01,26,0,44,1,189,16,0,12,436,0,1,0,39,44,1,0,1,28,17,206,1,1,4,0
2011-09-01,26,0,43,1,189,10,0,30,400,0,1,0,31,51,1,0,1,28,17,178,4,1,6,0
2011-10-01,28,1,42,1,196,14,0,24,406,0,1,0,33,47,1,0,2,28,28,206,2,1,5,0
2011-11-01,34,1,45,1,228,16,0,24,412,0,1,0,35,49,1,0,1,17,39,245,3,1,2,0
2011-12-01,33,1,52,1,207,16,0,18,565,0,1,0,37,50,2,0,1,23,28,267,2,1,3,0
2012-01-01,40,1,46,1,219,10,6,18,495,0,1,0,32,52,1,0,2,28,23,300,3,1,5,0
2012-02-01,32,1,39,1,228,12,0,18,453,0,2,0,29,38,3,0,1,28,17,289,2,1,7,0
2012-03-01,39,1,35,1,216,12,6,18,448,0,1,0,36,39,3,0,1,34,17,284,2,1,6,0
2012-04-01,46,1,56,1,157,12,0,18,465,0,2,0,32,45,6,0,2,34,23,328,1,1,7,0
2012-05-01,41,1,45,1,153,12,0,18,430,0,2,0,34,42,7,0,2,39,28,334,2,1,6,0
2012-06-01,52,1,55,1,155,16,0,18,471,0,3,1,37,42,9,0,1,39,23,367,2,1,7,1
2012-07-01,54,1,62,2,214,12,0,18,495,0,2,1,44,50,10,0,1,39,34,467,2,1,8,1
2012-08-01,65,1,67,2,219,12,0,30,506,0,3,1,40,58,14,1,1,28,28,445,2,1,6,1
2012-09-01,66,1,48,2,166,12,0,36,465,0,2,1,49,52,14,1,2,23,28,384,1,1,6,1
