date,government monitoring social media,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,95,0,206,0
2011-02-01,50,65,0,200,0
2011-03-01,48,112,0,236,48
2011-04-01,48,189,0,165,48
2011-05-01,45,136,0,148,48
2011-06-01,43,71,0,295,48
2011-07-01,43,183,48,442,48
2011-08-01,43,89,42,212,0
2011-09-01,61,212,42,353,0
2011-10-01,80,106,42,265,0
2011-11-01,100,159,42,118,0
2011-12-01,39,118,42,171,0
2012-01-01,36,195,36,289,0
2012-02-01,63,124,36,400,0
2012-03-01,35,130,36,353,0
2012-04-01,37,65,36,383,0
2012-05-01,36,95,36,371,0
2012-06-01,36,106,36,383,36
2012-07-01,71,106,36,471,36
2012-08-01,52,118,36,324,36
2012-09-01,35,83,36,359,30
2012-10-01,53,95,95,306,30
2012-11-01,42,148,30,253,30
2012-12-01,32,195,30,359,65
2013-01-01,87,148,42,330,59
2013-02-01,32,118,30,289,42
2013-03-01,71,136,30,342,42
2013-04-01,43,200,30,495,30
2013-05-01,56,242,30,348,106
2013-06-01,96,153,59,395,171
2013-07-01,38,171,48,300,253
2013-08-01,42,206,53,365,236
2013-09-01,55,200,53,395,165
2013-10-01,35,106,36,283,236
2013-11-01,63,195,30,230,118
2013-12-01,27,189,24,383,224
2014-01-01,50,236,24,342,300
2014-02-01,36,165,30,324,271
2014-03-01,73,130,71,365,230
2014-04-01,63,177,36,336,253
2014-05-01,51,177,24,265,265
2014-06-01,76,183,30,453,248
2014-07-01,37,195,112,589,312
2014-08-01,28,200,95,477,230
2014-09-01,79,236,59,318,306
2014-10-01,42,136,65,430,312
2014-11-01,52,218,42,371,348
2014-12-01,38,177,95,365,265
2015-01-01,48,248,53,465,277
2015-02-01,51,171,77,330,353
2015-03-01,70,206,53,359,248
2015-04-01,24,195,59,424,336
2015-05-01,63,124,30,306,248
2015-06-01,40,183,53,295,218
2015-07-01,55,171,71,412,236
2015-08-01,58,300,83,459,330
2015-09-01,34,189,83,418,265
2015-10-01,54,200,118,418,136
2015-11-01,45,236,48,306,230
2015-12-01,45,212,100,253,242
2016-01-01,36,183,77,318,277
2016-02-01,42,171,48,295,212
2016-03-01,46,177,42,271,189
2016-04-01,48,242,36,248,183
2016-05-01,20,200,112,253,153
2016-06-01,31,230,77,312,153
2016-07-01,34,218,53,324,136
2016-08-01,20,218,142,277,153
2016-09-01,20,183,89,283,89
2016-10-01,51,171,71,389,118
2016-11-01,48,177,118,312,136
2016-12-01,32,218,71,424,142
2017-01-01,45,218,83,377,148
