date,pokemon go settings,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,2,3,0,0,1,0,0,1,1,41,5,0,0,7,2,555,76,23,66,0,0,0,15,2,7,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,30,7,0,0,0,13,0,1,0,0,0,131,0,0,4,0,0,2,0,0
2011-02-01,0,2,3,0,0,1,0,0,1,1,36,6,0,0,5,2,519,78,26,60,0,0,0,13,3,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,25,5,0,0,0,13,0,1,1,0,1,102,0,0,4,0,0,2,0,0
2011-03-01,0,2,3,0,0,3,0,0,1,1,31,7,0,0,6,4,491,78,28,69,0,0,0,14,2,9,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,25,7,0,0,0,13,0,0,1,0,0,80,0,0,4,0,0,2,0,0
2011-04-01,0,1,2,0,0,3,0,1,1,1,29,5,0,0,7,3,537,84,32,70,0,0,0,12,2,7,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,23,6,0,0,0,12,0,1,1,0,1,75,0,0,5,0,0,2,0,0
2011-05-01,0,2,3,0,0,4,0,0,1,1,30,6,0,0,8,4,555,88,36,66,0,0,0,13,2,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,28,6,0,1,0,11,0,0,1,0,1,73,0,0,7,0,0,3,0,0
2011-06-01,0,2,4,0,0,5,0,0,1,1,33,9,0,0,9,4,600,95,42,91,0,0,0,14,3,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,28,5,0,1,0,12,1,0,1,0,1,82,0,0,7,0,0,2,0,0
2011-07-01,0,2,3,0,0,4,0,0,1,1,40,11,0,0,12,7,655,110,51,107,0,3,0,18,2,7,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,26,6,0,0,0,9,1,0,0,0,0,87,0,0,6,0,0,2,1,0
2011-08-01,1,3,5,0,0,4,0,0,1,1,47,11,0,0,11,5,782,104,51,105,0,3,0,21,3,10,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,37,6,0,0,0,13,0,0,1,0,1,84,0,0,6,0,0,2,0,0
2011-09-01,0,7,4,0,0,4,0,1,1,2,41,9,0,0,12,5,764,104,43,94,0,3,0,20,3,8,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,60,7,0,0,0,16,0,1,1,0,1,91,0,0,5,0,0,2,0,0
2011-10-01,0,5,4,0,0,7,0,0,2,1,51,8,0,0,10,7,773,99,51,95,0,3,0,15,3,7,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,43,6,0,1,0,16,0,1,1,0,1,105,0,0,7,0,0,2,0,0
2011-11-01,0,5,4,0,0,9,0,0,0,1,51,10,0,0,12,7,819,106,58,99,0,3,0,14,4,8,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,39,6,0,0,0,19,0,1,0,0,1,99,0,0,6,0,0,2,0,0
2011-12-01,0,4,6,0,0,5,0,0,1,1,47,11,0,0,11,9,910,113,63,138,0,6,0,18,3,9,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,37,6,0,1,0,17,0,0,0,0,1,120,0,0,8,0,0,2,0,0
2012-01-01,0,4,4,0,0,4,1,1,2,1,52,10,0,0,14,9,901,119,71,117,0,9,0,16,3,8,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,37,11,0,1,0,22,0,2,1,0,2,137,1,0,8,0,0,2,0,0
2012-02-01,0,4,6,0,0,4,0,1,2,2,51,10,0,1,9,8,891,95,68,106,0,9,0,14,3,6,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,35,14,0,1,0,22,0,3,1,0,3,119,1,0,9,0,1,1,0,0
2012-03-01,0,4,8,0,0,5,1,0,1,1,53,9,0,0,9,8,901,93,67,105,0,12,0,14,3,9,0,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,29,13,0,1,0,21,1,2,1,0,3,120,1,0,7,0,0,1,0,0
