date,delete account instagram,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on instagram,how to unfriend someone on facebook,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2011-01-01,0,1,1,0,0,0,0,0,14,2,0,0,2,1,200,29,8,23,0,5,1,3,0,0,0,0,0,1,0,0,1,0,0,0,11,3,0,0,0,0,5,0,0,0,0,43,0,0,1,1,0
2011-02-01,0,1,1,0,0,1,0,0,12,2,0,0,2,1,184,27,9,21,0,5,1,2,0,0,0,0,0,1,0,0,2,0,0,0,9,2,0,0,0,0,4,0,0,0,0,35,0,0,1,1,0
2011-03-01,0,1,1,0,0,1,0,0,10,3,0,0,2,1,175,26,10,24,0,5,1,3,0,0,0,0,0,2,0,0,2,0,0,0,9,2,0,0,0,0,5,0,0,0,0,28,0,0,2,1,0
2011-04-01,0,0,1,0,0,1,0,1,10,2,0,0,2,1,188,32,12,23,0,4,1,3,0,0,0,0,0,2,0,0,2,0,0,0,9,2,0,0,0,0,5,0,0,0,0,27,0,0,2,1,0
2011-05-01,0,1,1,0,0,1,0,0,11,2,0,0,3,1,197,30,13,24,0,5,1,2,0,0,0,1,0,1,0,0,2,0,0,0,9,2,0,0,0,0,4,0,0,0,0,25,0,0,2,1,0
2011-06-01,1,1,1,0,0,2,0,0,12,3,0,0,4,2,213,34,15,31,0,5,1,2,0,0,0,0,0,2,0,0,1,0,0,0,10,2,0,0,0,0,4,0,0,0,0,28,0,0,2,1,0
2011-07-01,1,1,1,0,0,2,0,0,13,4,0,0,5,2,233,40,18,37,0,6,1,2,0,0,0,0,0,2,0,0,2,0,0,0,9,2,0,0,0,0,4,0,0,0,0,30,0,0,2,1,0
2011-08-01,1,1,1,0,0,1,0,0,16,3,0,0,4,2,281,38,18,35,0,7,1,3,0,0,0,1,0,2,0,0,2,0,0,0,13,2,0,0,0,0,4,0,0,0,0,30,0,0,2,1,0
2011-09-01,1,2,2,0,0,1,0,0,15,3,0,0,4,2,275,39,15,34,0,6,1,3,0,0,0,1,0,3,0,0,2,0,0,0,22,2,0,0,0,0,7,0,0,0,0,33,0,0,2,1,0
2011-10-01,1,2,1,0,0,3,0,0,16,3,0,0,4,2,278,35,18,31,0,5,1,3,0,0,0,1,0,2,0,0,1,0,0,0,16,2,0,0,0,0,6,0,0,0,0,35,0,0,2,1,0
2011-11-01,2,2,2,0,0,3,0,1,19,4,0,0,4,3,291,37,21,34,0,4,1,3,0,0,0,0,0,1,0,0,2,0,0,0,13,2,0,0,0,0,6,0,0,0,0,34,0,0,2,0,0
2011-12-01,3,1,2,0,0,2,0,0,17,4,0,0,4,3,323,39,22,46,0,6,1,3,0,0,0,1,0,2,0,0,1,0,0,0,13,2,0,0,0,0,6,0,0,0,0,42,0,0,3,0,0
2012-01-01,4,1,2,0,0,1,1,0,18,3,0,0,4,3,317,40,25,42,0,6,1,3,0,0,0,1,0,3,0,0,2,0,0,0,13,3,0,0,0,0,7,0,1,0,1,48,0,0,3,1,0
2012-02-01,3,2,2,0,0,1,0,0,18,3,0,0,3,3,320,34,24,37,0,5,1,2,0,0,0,1,0,2,0,0,3,0,0,1,12,5,0,0,0,0,8,0,1,0,1,42,0,0,3,0,0
2012-03-01,4,1,2,0,0,2,0,0,18,3,0,0,3,3,317,32,23,37,0,5,1,3,0,0,0,0,0,2,0,0,3,0,0,0,10,4,0,0,0,0,7,0,1,0,1,41,0,0,2,1,0
2012-04-01,13,1,2,0,0,2,1,0,12,4,0,0,4,4,294,35,29,38,0,5,1,3,0,0,0,1,0,3,0,0,3,0,0,0,12,2,0,0,0,0,5,0,0,0,0,46,1,0,3,1,0
2012-05-01,11,1,2,0,0,2,1,0,11,4,0,1,4,3,278,34,27,36,0,4,1,3,0,0,0,1,0,3,0,0,2,0,0,0,12,2,0,0,0,0,4,0,0,0,0,47,1,0,3,0,0
2012-06-01,13,1,2,0,0,2,1,1,13,5,0,1,4,4,271,36,32,39,0,5,1,3,0,0,0,1,1,4,0,0,3,0,0,0,12,2,0,0,0,0,4,0,0,0,0,49,2,0,3,1,0
2012-07-01,15,1,2,0,0,2,1,1,18,5,0,1,4,5,271,40,39,41,0,5,1,4,0,0,0,0,1,3,0,0,2,0,0,0,10,2,0,0,0,0,5,0,0,0,0,47,2,0,3,1,0
2012-08-01,13,2,2,0,0,2,0,0,16,5,0,1,5,6,294,43,36,41,0,5,1,3,0,0,0,0,1,2,0,0,1,0,0,0,14,2,0,0,0,0,4,0,0,0,0,49,2,0,3,0,0
2012-09-01,14,3,2,0,1,2,0,1,13,4,0,1,4,5,284,42,33,41,1,4,1,4,0,0,0,1,1,2,0,0,1,0,0,0,20,3,0,0,0,0,4,0,0,0,0,44,2,0,3,0,0
2012-10-01,16,3,2,0,1,3,1,1,12,3,0,1,3,5,252,38,32,38,1,4,1,3,0,0,0,1,1,3,0,0,2,0,0,0,19,2,0,0,0,0,5,0,0,0,0,46,3,0,3,0,0
2012-11-01,15,2,2,0,1,3,0,0,15,4,1,1,3,4,236,38,34,38,4,5,1,3,0,0,0,1,1,5,0,0,4,0,0,0,17,2,0,0,0,0,6,0,0,0,0,34,2,0,4,1,0
2012-12-01,29,2,2,0,0,3,0,0,15,4,1,1,4,4,259,44,39,48,7,5,1,3,0,0,0,1,1,2,0,0,3,3,0,0,17,3,0,0,1,0,5,0,0,0,0,24,3,0,3,1,0
2013-01-01,34,2,2,0,1,3,0,1,13,5,1,2,5,6,249,44,42,44,6,5,1,3,0,0,1,1,1,2,0,0,2,1,0,0,15,2,0,0,1,0,6,0,0,0,0,20,4,0,3,1,0
2013-02-01,34,2,2,0,0,4,0,1,12,5,0,2,4,6,230,44,38,44,5,4,1,3,0,0,0,0,1,1,0,0,2,0,0,0,15,3,0,0,1,0,6,0,0,0,0,19,3,0,2,1,0
2013-03-01,22,2,2,0,0,4,1,1,13,4,1,2,4,5,217,45,37,42,6,4,1,3,0,0,1,1,1,4,0,0,2,0,0,0,18,2,0,0,1,0,6,0,0,0,0,16,4,1,3,1,0
2013-04-01,21,1,2,0,0,3,1,1,13,4,1,2,5,4,207,47,35,43,11,5,1,3,0,0,1,1,1,2,0,0,2,0,0,0,12,3,0,0,1,0,5,0,0,0,0,16,4,1,3,1,0
2013-05-01,25,2,2,0,0,4,0,1,10,4,1,2,5,4,200,47,33,43,13,4,1,3,0,0,1,1,1,2,0,0,2,0,0,0,12,2,0,0,1,0,5,0,0,0,0,15,4,1,3,1,0
2013-06-01,38,2,2,0,0,4,1,1,10,5,2,3,5,5,197,52,36,45,16,4,2,4,0,0,0,0,1,2,0,0,1,0,0,0,12,3,0,0,1,0,4,0,0,0,0,13,4,2,2,1,0
2013-07-01,23,2,2,0,0,5,0,1,13,5,2,2,6,5,200,52,40,47,16,5,2,4,0,0,1,1,1,5,0,0,1,0,0,0,14,3,0,0,1,0,4,0,0,0,0,13,5,1,3,1,0
2013-08-01,25,1,3,0,0,4,1,1,12,5,1,2,6,5,200,53,40,50,14,4,2,3,0,0,1,1,2,2,0,0,1,0,0,0,12,7,0,0,1,0,4,0,0,0,0,13,4,1,3,0,0
2013-09-01,23,2,3,0,0,4,1,1,10,4,2,2,5,4,188,52,33,42,13,4,2,4,0,0,1,1,1,2,0,0,2,0,0,0,12,3,0,0,1,0,4,0,0,0,0,13,4,1,2,1,0
2013-10-01,24,1,2,0,0,4,0,1,10,4,2,2,5,4,178,51,32,39,28,4,1,4,0,1,0,1,1,1,0,0,7,0,0,0,16,4,0,0,0,0,5,0,0,0,0,11,3,1,2,0,0
2013-11-01,20,1,2,0,0,4,0,1,11,3,1,2,5,4,171,51,30,40,26,4,1,4,0,0,1,0,1,3,0,0,1,0,0,0,10,3,0,0,1,0,5,0,0,0,0,11,3,1,2,0,0
2013-12-01,20,1,2,0,0,4,0,1,13,4,2,2,7,5,181,59,35,42,31,4,1,4,0,1,1,0,1,4,0,0,2,1,0,0,9,3,0,0,1,0,4,0,0,0,0,10,4,2,2,0,0
2014-01-01,28,1,2,0,0,4,0,1,12,5,3,2,7,6,191,64,40,44,43,4,2,4,0,0,1,1,1,2,0,0,1,0,0,0,9,3,0,0,1,0,5,0,0,0,0,11,4,3,3,0,0
2014-02-01,34,1,2,0,0,4,1,1,9,4,2,2,6,6,178,60,37,40,31,4,2,4,0,0,1,1,1,1,0,0,2,0,0,0,8,3,0,0,1,0,5,0,0,0,0,10,4,2,3,1,0
