date,how to delete pokemongo,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,177,293,0,0,129,44,43,87,114,3800,529,0,0,600,160,16,4100,1800,4700,1375,225,678,0,0,0,64,0,0,272,0,0,53,32,0,16,24,0,32,0,0,0,250,32,0,0,27,0,2400,458,0,0,18,0,1180,18,55,28,0,34,8800,0,0,300,0,16,225,16,0
2011-02-01,0,185,372,0,0,115,38,52,74,69,3150,458,0,0,500,200,0,4200,1900,4600,1250,240,656,0,0,0,40,0,0,343,0,0,38,0,0,0,34,0,17,18,0,0,350,29,0,0,41,0,1900,558,18,0,18,0,1160,56,52,48,0,28,6800,0,0,300,0,17,203,17,0
2011-03-01,0,162,279,0,0,200,25,26,50,87,2800,643,0,0,640,300,15,4400,2000,4900,1325,205,778,0,0,0,62,0,0,400,0,0,42,16,0,0,26,0,31,0,0,0,450,23,0,0,52,0,2050,529,0,0,18,15,1200,51,42,42,0,20,5300,17,0,382,0,15,182,15,0
2011-04-01,0,77,200,0,0,243,0,77,72,56,2650,586,0,0,560,280,17,4600,2300,4800,1300,210,489,0,0,17,94,0,0,358,0,0,54,25,0,0,17,0,33,0,0,0,450,22,0,0,45,0,1900,458,0,0,27,15,1180,18,39,63,0,28,5100,0,0,410,0,17,190,33,0
2011-05-01,0,124,222,0,0,315,42,41,50,114,3100,529,0,0,620,320,21,4600,2700,4500,1125,225,578,0,16,34,104,0,0,372,0,0,42,47,0,0,31,0,15,0,0,0,350,26,0,0,42,0,2150,500,16,0,42,30,900,34,33,42,0,53,5000,0,0,473,0,16,271,23,15
2011-06-01,0,185,365,0,0,358,26,43,120,64,3300,686,0,0,880,380,16,5000,2900,6200,1275,260,556,0,0,17,148,0,17,472,0,0,52,16,0,0,0,0,16,0,0,0,300,32,0,0,59,16,2400,486,0,0,68,34,1220,103,33,69,0,34,5700,17,0,528,0,16,168,16,0
2011-07-01,0,185,343,0,0,315,0,42,103,132,3700,872,0,15,1080,580,0,5900,3800,7300,1725,160,734,0,16,17,90,0,0,543,0,0,52,26,16,0,32,0,16,16,0,0,350,0,0,0,27,0,1900,443,0,0,68,15,960,77,55,26,0,42,5700,0,0,528,0,42,128,16,15
2011-08-01,0,193,286,0,0,315,24,20,122,61,4350,815,0,15,980,540,15,5600,3600,7500,1875,300,823,0,45,30,120,0,0,558,0,0,49,22,0,0,22,0,15,0,0,0,400,15,0,0,61,0,2950,400,0,0,40,0,1040,57,39,49,0,25,5900,34,0,519,0,15,160,20,0
2011-09-01,0,554,408,0,0,315,31,87,118,122,4100,900,0,15,1220,480,0,5600,3200,6700,1775,210,700,0,14,38,112,0,0,529,0,0,55,22,0,0,39,0,15,0,0,0,350,24,0,0,45,0,5000,558,0,0,24,0,1640,80,68,56,0,39,6200,17,0,437,0,15,200,15,15
2011-10-01,0,554,315,0,0,615,30,41,105,45,4300,786,0,15,1000,520,0,5400,3900,7000,1475,305,623,0,21,34,150,0,28,515,0,0,104,41,0,14,14,0,32,0,0,0,350,21,0,0,74,0,3650,500,14,0,66,15,1560,15,52,52,0,42,7000,34,0,510,0,55,171,21,0
2011-11-01,0,439,429,0,0,715,16,28,83,66,5000,872,0,15,1040,700,28,5800,4500,6800,1200,310,656,0,28,30,92,0,12,329,0,0,38,35,14,14,18,0,14,0,14,0,350,14,19,0,61,0,3100,529,14,0,53,0,1380,45,55,68,0,56,6600,17,0,519,0,28,109,21,20
2011-12-01,0,400,536,0,0,515,15,18,81,100,4600,943,0,29,1080,720,14,6000,4900,9500,1750,270,745,0,14,13,164,0,28,529,0,0,37,18,14,0,20,0,27,0,0,0,250,14,0,0,60,0,3150,529,0,0,72,15,1540,23,33,60,0,42,8400,34,0,637,0,21,111,14,0
2012-01-01,0,331,465,0,14,372,27,75,122,122,4700,872,0,58,1100,820,19,6200,5200,8600,1550,245,712,0,13,25,200,0,23,686,0,0,41,25,0,0,25,0,13,0,0,0,400,25,0,0,80,0,3200,729,0,0,81,0,1840,34,142,75,0,214,9400,50,0,755,0,25,168,17,15
2012-02-01,0,431,508,0,0,315,77,52,133,161,5000,786,0,72,900,740,17,5000,5100,7600,1225,180,567,0,33,21,190,0,23,615,0,0,56,26,0,0,13,0,13,0,0,0,600,35,19,0,113,0,3000,1086,0,0,105,12,2000,21,323,126,0,278,7900,67,0,737,0,26,114,17,0
2012-03-01,0,339,522,0,0,358,73,57,120,90,4600,758,0,43,900,760,25,5100,5000,7500,1475,260,745,0,33,38,156,0,34,572,0,0,47,33,25,12,49,24,20,0,0,0,550,37,19,0,87,0,2350,972,0,0,72,0,1660,54,191,113,0,248,8100,100,12,591,0,25,173,12,15
2012-04-01,0,400,458,0,25,415,28,26,85,103,3450,1072,0,186,920,880,13,5300,6000,7700,1325,235,712,0,44,21,146,0,45,600,0,0,49,26,0,0,21,0,21,0,0,0,650,13,46,0,61,0,2750,515,14,0,111,12,1520,119,68,78,0,117,9100,217,0,655,14,47,136,19,0
2012-05-01,0,339,400,0,25,529,51,28,109,119,3100,986,10,129,940,820,12,5100,5800,7200,1125,160,578,0,61,25,116,0,73,772,0,18,32,24,0,0,12,0,48,0,0,0,450,24,19,0,84,0,2700,529,12,0,83,0,1080,65,26,98,0,39,8900,350,0,701,0,36,122,18,0
2012-06-01,0,385,493,0,14,486,27,29,114,148,3400,1158,10,158,960,1040,17,5500,7000,8000,1125,295,634,0,92,21,164,0,150,915,0,19,47,33,0,19,19,12,25,0,0,0,550,50,19,0,59,0,2600,472,0,0,74,12,920,34,39,55,0,59,10000,451,0,855,0,25,160,37,0
2012-07-01,0,331,450,0,12,658,26,37,146,174,4600,1215,40,243,1040,1140,12,6200,8200,8600,1325,280,834,0,37,17,94,0,184,815,0,24,59,43,0,12,24,0,0,0,0,0,450,20,19,0,46,0,2450,443,0,0,98,0,1300,113,55,33,0,53,9200,584,0,855,0,24,152,12,20
2012-08-01,0,516,522,0,32,643,46,41,105,137,4600,1343,30,300,1300,1400,12,6600,7600,8500,1175,270,800,14,82,25,98,0,162,529,0,0,46,49,12,24,49,12,16,0,0,0,300,18,28,0,69,0,3250,415,0,0,98,12,1240,52,33,67,0,45,9100,484,12,873,0,49,119,12,24
2012-09-01,0,770,536,0,223,586,32,32,144,140,3750,943,30,243,1120,1200,12,6400,6600,8000,1100,225,923,14,49,34,108,0,223,472,0,36,20,24,12,0,20,0,24,0,0,0,300,30,37,0,64,0,4600,600,12,0,109,12,1080,52,46,72,0,42,8500,534,0,701,0,24,90,24,20
2012-10-01,0,685,429,0,156,643,24,44,107,143,3200,843,70,172,860,960,18,5700,6900,7600,1075,305,845,0,61,21,138,0,167,800,0,11,53,15,11,22,22,16,44,11,0,0,450,33,37,0,40,0,4450,486,34,0,146,12,1460,94,52,48,0,59,8700,584,12,873,0,29,106,15,15
2012-11-01,0,554,422,0,109,615,0,48,155,116,4000,1000,280,243,860,1020,15,5800,7200,7900,1200,245,945,0,82,34,168,0,162,1115,0,22,48,22,16,11,22,11,18,11,0,12,750,22,28,0,55,11,3850,543,23,0,118,23,1360,83,42,65,12,53,6900,517,45,901,0,22,152,28,24
2012-12-01,0,500,565,0,125,772,24,59,120,140,4200,1043,290,386,1180,1140,22,6900,8400,9600,1175,325,789,33,85,25,154,0,184,429,22,11,60,22,28,11,0,11,28,11,0,0,650,11,910,0,78,0,3850,600,16,0,155,0,1520,72,55,96,0,48,4400,734,112,791,0,22,128,18,10
2013-01-01,0,439,543,0,127,843,22,50,142,135,3750,1186,250,543,1220,1420,20,6700,8400,9300,1350,310,745,20,57,142,150,0,312,386,17,20,27,10,40,10,13,10,15,0,0,0,400,23,273,0,71,0,3500,515,16,0,211,0,1380,55,52,83,0,67,3900,851,78,910,0,30,192,23,10
