date,best private messaging app
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,36
2011-10-01,34
2011-11-01,35
2011-12-01,34
2012-01-01,31
2012-02-01,31
2012-03-01,31
2012-04-01,31
2012-05-01,31
2012-06-01,31
2012-07-01,30
2012-08-01,30
2012-09-01,30
2012-10-01,27
2012-11-01,27
2012-12-01,27
2013-01-01,88
2013-02-01,28
2013-03-01,49
2013-04-01,25
2013-05-01,24
2013-06-01,38
2013-07-01,62
2013-08-01,24
2013-09-01,24
2013-10-01,23
2013-11-01,35
2013-12-01,23
2014-01-01,22
2014-02-01,39
2014-03-01,57
2014-04-01,33
2014-05-01,22
2014-06-01,33
2014-07-01,64
2014-08-01,48
2014-09-01,61
2014-10-01,51
2014-11-01,82
2014-12-01,66
2015-01-01,62
2015-02-01,82
2015-03-01,61
2015-04-01,31
2015-05-01,40
2015-06-01,82
2015-07-01,61
2015-08-01,81
2015-09-01,79
2015-10-01,75
2015-11-01,64
2015-12-01,78
2016-01-01,92
2016-02-01,49
2016-03-01,34
2016-04-01,24
2016-05-01,91
2016-06-01,99
2016-07-01,24
2016-08-01,99
2016-09-01,64
2016-10-01,55
2016-11-01,100
2016-12-01,50
2017-01-01,73
