date,how to unfollow someone on instagram,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,28,49,0,0,24,7,8,13,21,91,0,0,97,29,3,0,230,40,113,0,0,0,3,0,49,0,0,9,6,0,3,4,0,6,0,0,0,6,0,0,4,0,437,80,0,6,0,190,3,9,4,0,7,0,0,54,0,0,39,3,0
2011-02-01,0,33,56,0,0,21,6,9,9,15,79,0,0,81,36,0,0,209,43,111,0,0,0,8,0,59,0,0,6,0,0,0,6,0,3,0,0,0,5,0,0,8,0,346,88,3,3,0,184,8,9,8,0,6,0,0,52,0,0,36,3,0
2011-03-01,0,25,49,0,0,36,4,5,12,14,110,0,0,104,54,3,0,221,37,137,0,0,0,8,0,66,0,0,7,3,0,0,5,0,5,0,0,0,4,0,0,7,0,373,90,0,3,3,207,8,7,7,0,4,4,0,66,0,3,32,0,0
2011-04-01,0,17,37,0,0,44,0,14,9,6,100,0,0,91,50,3,0,217,37,78,0,0,3,22,0,64,0,0,9,4,0,0,0,0,6,0,0,0,4,0,0,10,0,346,70,0,4,3,200,4,7,10,0,4,0,0,71,0,3,33,6,0
2011-05-01,0,17,40,0,0,57,7,7,8,18,91,0,0,100,58,4,0,188,40,98,0,3,6,19,0,66,0,0,7,6,0,0,3,0,3,0,0,0,5,0,0,7,0,391,105,0,6,6,147,6,3,7,0,8,0,0,82,0,3,48,5,3
2011-06-01,3,36,60,0,0,65,4,8,18,13,118,0,0,142,68,3,0,213,46,96,0,0,3,21,0,81,0,0,8,3,0,0,0,0,3,0,0,0,6,0,0,11,3,437,95,0,8,6,194,13,4,11,0,4,4,0,93,3,3,29,3,0
2011-07-01,0,30,64,0,0,57,0,7,19,26,149,0,3,175,104,0,0,288,29,105,0,3,3,14,0,96,0,0,8,5,3,0,3,0,3,0,0,0,0,0,0,4,0,346,85,0,11,3,160,15,10,4,0,4,7,0,93,0,6,22,3,3
2011-08-01,0,36,51,0,0,57,4,4,18,12,140,0,3,159,97,3,0,313,54,154,0,8,5,21,0,91,0,0,8,4,0,0,4,3,3,0,0,0,3,0,0,8,0,537,75,0,7,0,164,7,7,8,0,4,7,0,90,0,3,28,4,0
2011-09-01,0,99,60,0,0,57,5,15,16,18,154,0,3,197,86,0,0,296,38,113,0,3,6,18,0,96,0,0,9,4,0,0,5,0,3,0,0,0,4,0,0,9,0,910,100,0,4,0,260,10,14,9,0,8,4,0,77,0,3,35,3,3
2011-10-01,5,90,54,0,0,111,5,7,17,10,135,0,3,162,93,0,0,246,55,109,0,4,6,20,0,86,0,0,17,6,0,2,2,0,6,0,0,0,4,0,0,9,0,664,90,2,12,2,264,2,10,9,0,7,7,0,88,0,0,30,2,0
2011-11-01,2,83,66,0,0,129,2,5,10,9,149,0,3,168,125,5,0,200,56,123,0,5,5,16,0,57,0,0,6,6,2,2,4,0,2,0,2,0,2,3,0,11,0,564,108,2,9,0,224,7,9,11,0,11,4,0,91,0,2,19,2,5
2011-12-01,5,67,87,0,0,93,2,3,13,17,161,0,5,175,129,2,0,292,48,129,0,2,2,25,0,91,0,0,6,4,2,0,5,0,5,0,0,0,2,0,0,10,0,573,103,0,15,2,260,4,6,10,0,10,7,0,110,0,2,19,2,0
2012-01-01,4,58,87,0,2,67,4,13,18,19,149,0,9,178,147,3,0,259,44,121,0,2,4,37,0,120,0,0,7,4,0,0,4,0,2,0,0,0,4,0,0,12,0,582,125,0,13,0,330,5,20,12,0,42,10,0,132,0,4,30,2,2
2012-02-01,4,78,90,0,0,57,13,9,24,30,135,0,12,146,133,3,0,205,32,98,0,6,4,31,0,98,0,0,9,3,0,0,2,0,2,0,0,0,6,3,0,21,0,546,208,0,18,2,334,4,57,21,0,50,16,0,129,2,6,20,3,0
2012-03-01,6,62,90,0,0,65,12,10,19,18,130,0,9,146,136,4,0,246,46,135,0,6,7,25,0,96,0,0,8,5,4,2,9,4,4,0,0,0,7,3,0,18,0,428,185,0,14,0,264,7,32,18,0,30,22,2,104,0,5,31,0,2
2012-04-01,8,61,82,0,5,75,5,5,23,16,183,0,25,149,158,2,0,221,42,139,0,8,4,30,0,115,0,0,8,4,0,0,3,0,4,0,0,0,2,8,0,13,0,501,103,2,17,2,277,18,12,13,0,23,44,0,113,2,10,24,3,0
2012-05-01,13,65,67,0,4,95,8,5,19,19,169,2,23,152,147,2,0,188,28,103,0,11,4,15,0,127,0,3,5,6,0,0,2,2,9,0,0,0,4,3,0,16,0,491,93,2,14,0,174,9,3,16,0,6,63,0,122,0,6,21,3,0
2012-06-01,27,70,80,0,2,88,4,5,19,21,198,2,27,155,186,3,0,188,53,111,0,16,4,31,0,152,0,3,8,5,0,3,3,2,4,0,0,0,9,3,0,9,0,482,90,0,16,2,154,7,7,9,0,10,91,0,147,2,4,28,7,0
2012-07-01,33,46,74,0,2,118,4,6,26,26,208,8,38,168,204,2,0,221,50,133,0,6,3,18,0,142,0,4,10,8,0,2,5,0,0,0,0,0,4,3,0,5,0,446,85,0,18,0,207,14,11,5,0,8,110,0,147,0,2,27,0,3
2012-08-01,29,89,91,0,6,116,7,7,22,21,230,6,49,210,250,2,0,196,48,129,2,14,4,17,0,93,0,0,7,9,2,4,9,2,3,0,0,0,3,5,0,11,0,591,68,0,17,2,194,7,6,11,0,6,91,2,152,0,9,21,2,4
2012-09-01,40,148,99,0,40,106,5,6,22,21,161,6,47,181,215,2,0,184,41,160,2,9,6,18,0,81,0,6,3,6,2,0,4,2,4,0,0,0,5,6,0,12,0,837,118,0,19,2,190,8,8,12,0,7,104,0,122,0,3,16,4,4
