date,how to uninstall gmail
2011-01-01,44
2011-02-01,52
2011-03-01,50
2011-04-01,48
2011-05-01,48
2011-06-01,50
2011-07-01,35
2011-08-01,62
2011-09-01,44
2011-10-01,60
2011-11-01,62
2011-12-01,50
2012-01-01,50
2012-02-01,36
2012-03-01,49
2012-04-01,47
2012-05-01,38
2012-06-01,65
2012-07-01,53
2012-08-01,64
2012-09-01,48
2012-10-01,59
2012-11-01,45
2012-12-01,54
2013-01-01,54
2013-02-01,55
2013-03-01,54
2013-04-01,58
2013-05-01,70
2013-06-01,62
2013-07-01,73
2013-08-01,88
2013-09-01,86
2013-10-01,68
2013-11-01,74
2013-12-01,74
2014-01-01,93
2014-02-01,87
2014-03-01,88
2014-04-01,72
2014-05-01,71
2014-06-01,78
2014-07-01,71
2014-08-01,76
2014-09-01,100
2014-10-01,92
2014-11-01,88
2014-12-01,78
2015-01-01,90
2015-02-01,90
2015-03-01,77
2015-04-01,80
2015-05-01,79
2015-06-01,72
2015-07-01,84
2015-08-01,95
2015-09-01,83
2015-10-01,70
2015-11-01,72
2015-12-01,71
2016-01-01,80
2016-02-01,81
2016-03-01,76
2016-04-01,69
2016-05-01,68
2016-06-01,83
2016-07-01,77
2016-08-01,75
2016-09-01,84
2016-10-01,81
2016-11-01,87
2016-12-01,82
2017-01-01,81
