date,government monitoring social media,"how to change instagram privacy settings
","how to browse anonymously
","search without history
","government monitoring social media
","how to uninstall snapchat
","how to unfollow someone on snapchat
","how to unfriend someone on snapchat
","how to unfriend someone on instagram
","how to encrypt emails
","how to encrypt text messages
"
2011-01-01,53,0,217,392,53,0,0,0,0,159,53
2011-02-01,0,0,300,209,0,0,0,0,0,167,56
2011-03-01,100,0,273,317,100,0,0,0,0,67,0
2011-04-01,54,0,162,309,54,0,0,0,0,109,53
2011-05-01,50,0,184,300,50,0,0,0,0,125,0
2011-06-01,0,0,295,292,0,0,0,0,0,103,53
2011-07-01,0,0,384,342,0,0,0,0,0,120,51
2011-08-01,48,0,312,325,48,0,0,0,0,123,81
2011-09-01,0,0,395,334,0,0,0,0,0,117,48
2011-10-01,60,0,239,259,60,0,0,0,0,164,45
2011-11-01,68,0,212,317,68,0,0,0,0,159,61
2011-12-01,0,0,267,309,0,0,0,0,0,134,59
2012-01-01,82,44,456,384,82,0,0,0,0,109,42
2012-02-01,85,0,339,467,85,0,0,0,0,70,0
2012-03-01,40,44,323,375,40,0,0,0,0,106,0
2012-04-01,42,44,423,459,42,0,0,0,43,278,85
2012-05-01,0,200,378,367,0,0,0,0,39,103,39
2012-06-01,54,82,450,459,54,0,0,0,54,120,80
2012-07-01,79,38,523,492,79,0,0,0,0,159,53
2012-08-01,40,107,317,434,40,36,0,0,0,78,66
2012-09-01,59,625,289,367,59,0,0,0,59,117,66
2012-10-01,36,544,395,509,36,0,0,0,35,84,59
2012-11-01,48,325,195,409,48,0,0,0,72,109,59
2012-12-01,36,463,395,550,36,108,0,0,36,95,35
2013-01-01,82,263,362,417,82,0,0,65,76,109,66
2013-02-01,72,219,300,492,72,36,0,36,36,125,72
2013-03-01,43,325,300,592,43,29,0,49,85,117,43
2013-04-01,43,207,450,534,43,50,0,54,44,142,86
2013-05-01,53,238,362,400,53,29,0,200,53,106,64
2013-06-01,98,300,539,559,98,72,0,163,115,153,77
2013-07-01,75,282,345,467,75,93,0,65,107,256,32
2013-08-01,32,313,362,667,32,122,0,32,48,212,48
2013-09-01,62,250,395,517,62,143,65,63,62,175,47
2013-10-01,45,219,367,484,45,158,0,45,59,98,59
2013-11-01,100,163,300,451,100,129,0,60,51,120,61
2013-12-01,71,307,389,567,71,108,0,60,61,137,61
2014-01-01,42,238,484,542,42,150,30,56,47,131,99
2014-02-01,92,250,328,592,92,143,0,45,62,112,93
2014-03-01,37,250,434,509,37,108,30,27,56,156,27
2014-04-01,38,182,423,534,38,72,30,72,67,134,67
2014-05-01,67,225,312,484,67,486,75,43,125,220,29
2014-06-01,79,250,406,492,79,165,65,47,65,170,53
2014-07-01,62,275,517,617,62,93,65,32,62,156,74
2014-08-01,42,182,528,592,42,50,81,32,74,95,93
2014-09-01,50,182,400,609,50,143,62,60,75,139,80
2014-10-01,99,288,400,734,99,115,49,56,39,162,113
2014-11-01,49,150,423,525,49,172,91,116,39,175,39
2014-12-01,43,163,434,584,43,122,59,58,129,114,100
2015-01-01,80,157,506,684,80,636,91,72,27,120,45
2015-02-01,77,119,312,534,77,308,59,134,67,125,48
2015-03-01,53,138,434,717,53,186,91,87,71,150,105
2015-04-01,45,157,389,684,45,258,91,107,72,162,89
2015-05-01,79,69,317,550,79,93,97,149,79,139,93
2015-06-01,67,82,378,609,67,150,136,125,98,187,89
2015-07-01,71,150,384,575,71,372,107,158,62,142,80
2015-08-01,52,69,556,625,52,179,68,114,88,148,43
2015-09-01,26,94,473,750,26,358,139,76,77,189,94
2015-10-01,32,107,284,534,32,222,155,145,49,137,97
2015-11-01,50,138,345,659,50,193,75,132,99,134,75
2015-12-01,0,88,356,759,0,329,68,127,59,203,51
2016-01-01,40,100,289,550,40,236,107,160,57,200,112
2016-02-01,64,119,395,750,64,215,168,103,112,198,48
2016-03-01,45,69,339,692,45,329,136,118,59,237,75
2016-04-01,54,50,217,717,54,636,171,176,70,231,85
2016-05-01,30,82,273,667,30,436,159,156,75,231,104
2016-06-01,39,94,373,692,39,715,171,223,101,100,70
2016-07-01,35,144,417,692,35,508,323,216,108,164,62
2016-08-01,0,125,373,692,0,508,146,218,84,137,61
2016-09-01,38,107,417,617,38,358,123,120,129,150,97
2016-10-01,32,88,350,700,32,515,162,158,115,231,66
2016-11-01,29,82,300,692,29,558,146,174,116,245,123
2016-12-01,22,94,462,700,22,315,155,145,80,159,159
2017-01-01,41,113,367,834,41,343,175,183,89,217,81
