date,youtube private channel,"how to change instagram privacy settings
","how to delete a snapchat account
","how to delete a google account
","government monitoring social media
","how to uninstall facebook
","how to unfriend someone on instagram
"
2011-01-01,46,0,0,78,2,218,0
2011-02-01,42,0,0,78,0,172,0
2011-03-01,28,0,0,86,0,158,0
2011-04-01,34,0,0,75,2,140,0
2011-05-01,34,0,0,95,0,154,0
2011-06-01,58,0,0,120,0,158,0
2011-07-01,43,0,0,166,0,215,0
2011-08-01,46,0,0,138,0,258,0
2011-09-01,49,0,0,138,0,243,0
2011-10-01,45,0,0,146,3,193,0
2011-11-01,59,0,0,123,2,175,0
2011-12-01,84,0,0,146,0,218,0
2012-01-01,70,2,0,138,6,208,0
2012-02-01,64,0,0,123,4,193,0
2012-03-01,84,2,0,132,0,168,0
2012-04-01,51,2,0,140,2,175,2
2012-05-01,71,9,0,123,0,175,2
2012-06-01,58,4,2,126,3,165,3
2012-07-01,65,2,4,138,4,183,0
2012-08-01,69,3,5,183,2,183,0
2012-09-01,71,28,5,132,4,172,3
2012-10-01,62,24,10,118,2,150,2
2012-11-01,68,16,47,138,3,190,3
2012-12-01,82,22,50,149,2,165,2
2013-01-01,83,11,32,163,4,175,4
2013-02-01,80,10,23,155,3,172,2
2013-03-01,84,16,27,158,2,136,4
2013-04-01,64,10,43,175,2,150,2
2013-05-01,65,13,37,178,3,150,2
2013-06-01,66,18,58,195,6,161,5
2013-07-01,96,10,67,215,3,150,5
2013-08-01,99,14,54,229,1,150,1
2013-09-01,86,11,53,195,0,150,3
2013-10-01,75,10,61,206,3,129,3
2013-11-01,71,6,59,206,4,158,3
2013-12-01,74,15,83,226,3,154,3
2014-01-01,77,10,124,260,3,147,3
2014-02-01,100,9,81,246,6,133,4
2014-03-01,69,10,86,232,1,143,1
2014-04-01,77,9,80,229,2,154,4
2014-05-01,64,10,107,238,4,125,7
2014-06-01,52,10,113,212,4,143,3
2014-07-01,76,13,83,272,3,150,4
2014-08-01,52,6,70,252,1,358,4
2014-09-01,56,6,78,226,1,229,4
2014-10-01,60,15,100,212,5,175,2
2014-11-01,66,6,102,223,3,161,2
2014-12-01,73,9,105,203,2,154,5
2015-01-01,72,6,145,212,4,136,1
2015-02-01,73,5,97,178,3,158,3
2015-03-01,69,6,112,198,3,140,3
2015-04-01,60,8,102,195,1,125,3
2015-05-01,64,2,88,206,3,115,3
2015-06-01,57,4,86,220,4,122,4
2015-07-01,62,8,116,229,4,125,3
2015-08-01,59,4,143,246,0,136,2
2015-09-01,65,5,104,220,1,122,3
2015-10-01,54,4,94,220,2,125,1
2015-11-01,56,5,91,200,2,118,5
2015-12-01,62,5,107,218,0,125,3
2016-01-01,64,5,120,229,2,122,2
2016-02-01,62,6,115,240,3,133,6
2016-03-01,60,3,120,209,2,108,2
2016-04-01,78,2,126,203,3,118,3
2016-05-01,58,4,159,209,2,115,2
2016-06-01,64,3,156,218,2,143,3
2016-07-01,58,6,153,286,2,136,6
2016-08-01,72,6,120,283,0,140,4
2016-09-01,62,5,116,223,2,122,6
2016-10-01,66,4,124,235,1,118,7
2016-11-01,49,4,116,215,2,129,5
2016-12-01,60,4,132,260,1,118,5
2017-01-01,77,4,140,255,1,165,4
