date,how to uninstall gmail,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,44,19,0,0,0,0,112,3,0,0,140,108,7,0,15,0
2011-02-01,54,19,5,0,0,0,112,3,0,0,116,108,5,0,14,0
2011-03-01,40,21,3,0,0,0,124,6,0,0,144,132,8,0,17,3
2011-04-01,41,21,3,0,0,0,92,6,4,0,116,116,14,0,12,3
2011-05-01,39,14,3,0,0,0,112,3,4,0,116,152,10,0,11,3
2011-06-01,56,21,3,0,0,0,139,3,4,0,124,180,5,0,21,3
2011-07-01,42,26,3,0,0,0,206,6,4,0,140,236,13,3,31,3
2011-08-01,62,16,3,0,0,0,186,6,4,0,164,184,6,3,15,0
2011-09-01,40,23,5,0,0,0,180,6,4,0,132,216,15,3,25,0
2011-10-01,58,21,5,0,0,3,174,6,4,0,140,200,8,3,19,0
2011-11-01,64,26,7,0,0,3,189,6,4,0,148,208,11,3,8,0
2011-12-01,65,21,3,0,0,3,215,6,4,0,156,208,8,3,12,0
2012-01-01,39,23,3,0,0,3,189,6,4,0,136,224,14,2,21,0
2012-02-01,51,28,5,0,0,3,159,6,8,0,124,160,9,2,29,0
2012-03-01,50,21,3,0,0,3,145,6,4,0,152,164,9,2,25,0
2012-04-01,45,32,3,0,0,3,233,6,8,0,136,192,4,3,27,0
2012-05-01,43,21,3,5,0,3,186,3,8,0,144,176,7,2,26,0
2012-06-01,61,30,3,3,0,3,230,3,16,4,156,180,8,2,27,3
2012-07-01,49,26,5,5,0,3,259,6,8,4,188,212,8,2,34,2
2012-08-01,51,23,5,5,0,3,280,9,12,4,168,248,8,2,23,2
2012-09-01,48,26,3,10,0,3,200,9,8,4,208,220,6,2,26,2
2012-10-01,62,32,5,21,0,6,165,6,12,4,176,176,7,7,22,2
2012-11-01,55,30,3,53,0,3,206,6,16,4,160,188,11,2,18,2
2012-12-01,59,26,3,57,0,3,203,9,20,4,180,232,14,2,26,5
2013-01-01,63,35,7,46,0,3,224,30,12,4,160,228,10,3,23,4
2013-02-01,44,30,3,23,0,6,248,27,16,4,164,224,8,2,20,3
2013-03-01,68,32,5,37,0,3,227,39,12,4,176,212,9,2,24,3
2013-04-01,51,32,3,64,0,3,218,68,12,4,176,220,14,2,35,2
2013-05-01,79,35,5,55,0,6,215,36,16,4,168,252,17,2,25,7
2013-06-01,80,39,7,91,0,6,224,21,20,4,188,268,11,4,28,12
2013-07-01,78,35,3,94,0,3,283,30,20,4,208,292,12,3,22,18
2013-08-01,87,46,3,82,0,3,295,59,28,0,196,312,15,4,26,17
2013-09-01,73,32,5,69,0,3,227,56,16,0,184,264,14,4,28,12
2013-10-01,74,26,3,91,12,3,180,21,20,0,180,284,7,2,20,17
2013-11-01,76,30,5,73,14,6,195,27,20,0,220,292,14,2,16,8
2013-12-01,82,35,3,123,14,6,221,50,24,0,236,344,13,2,27,16
2014-01-01,90,41,5,157,16,9,209,71,24,0,216,348,17,2,24,21
2014-02-01,80,32,3,91,12,6,192,56,20,4,208,304,12,2,23,19
2014-03-01,85,32,5,114,12,6,200,39,24,0,200,336,9,5,26,16
2014-04-01,78,32,5,116,12,6,186,48,24,0,204,324,13,3,24,18
2014-05-01,71,32,5,166,21,9,168,59,16,4,172,308,13,2,19,19
2014-06-01,66,30,5,148,16,3,180,83,24,4,176,296,13,2,32,17
2014-07-01,86,35,3,135,19,6,230,92,12,0,224,364,14,8,42,22
2014-08-01,84,39,3,105,12,6,224,77,24,4,232,352,14,7,34,16
2014-09-01,93,37,5,107,19,6,153,50,16,0,228,300,17,4,22,22
2014-10-01,85,46,3,141,16,3,162,33,16,0,224,292,10,5,30,22
2014-11-01,93,35,5,137,14,3,159,50,20,4,216,312,15,3,26,24
2014-12-01,87,35,3,166,14,6,171,65,28,4,216,308,13,7,26,19
2015-01-01,82,44,3,228,16,6,189,77,20,0,220,292,17,4,33,20
2015-02-01,84,37,5,150,19,6,136,42,20,4,212,288,12,5,23,25
2015-03-01,84,39,5,171,23,6,150,42,20,0,188,280,14,4,26,18
2015-04-01,78,41,3,141,23,3,159,53,24,4,176,260,14,4,30,24
2015-05-01,82,44,5,107,23,6,156,74,20,4,184,288,9,2,22,18
2015-06-01,99,41,3,132,19,6,165,92,24,4,192,320,13,4,21,15
2015-07-01,89,37,5,173,37,6,156,39,28,0,248,316,12,5,29,17
2015-08-01,100,46,5,182,19,9,162,39,28,4,240,332,21,6,32,24
2015-09-01,85,48,3,155,16,6,124,50,32,4,200,324,14,6,30,19
2015-10-01,78,39,5,119,14,6,127,45,24,4,204,292,14,8,30,10
2015-11-01,66,44,3,128,16,6,115,39,24,4,188,280,17,3,22,16
2015-12-01,86,48,3,141,14,3,148,36,16,0,204,304,15,7,18,17
2016-01-01,73,44,3,153,16,3,168,48,32,0,196,340,13,6,23,20
2016-02-01,79,51,3,141,19,9,136,59,24,0,184,320,12,3,21,15
2016-03-01,71,41,3,153,21,9,127,42,28,4,168,296,13,3,19,14
2016-04-01,66,51,3,189,32,6,133,36,28,44,176,296,17,2,17,13
2016-05-01,73,39,3,212,26,3,142,30,32,4,164,292,14,8,18,11
2016-06-01,79,46,3,196,21,3,145,42,28,8,192,308,16,5,22,11
2016-07-01,82,44,3,196,30,6,156,71,36,8,188,400,16,4,23,10
2016-08-01,73,48,3,171,23,6,148,42,32,4,180,368,15,10,20,11
2016-09-01,83,44,3,153,26,3,115,33,32,4,156,328,13,6,20,6
2016-10-01,83,39,5,157,30,6,127,36,24,4,176,344,12,5,27,9
2016-11-01,82,41,3,162,23,9,106,56,32,4,192,320,13,8,22,10
2016-12-01,80,44,3,194,32,6,142,71,28,4,180,376,15,5,30,10
2017-01-01,73,48,3,185,32,3,133,65,36,4,192,352,15,6,27,10
