date,Privacy policy Pokemon Go,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,60,109,0,0,50,13,12,30,45,1250,175,0,0,200,62,6,2050,900,2350,0,0,0,491,90,240,0,0,0,26,0,0,117,0,0,18,13,0,6,9,0,13,0,0,0,125,13,0,11,0,960,189,0,0,13,0,454,6,18,11,0,14,4500,0,0,118,0,6,88,6,0
2011-02-01,0,69,122,0,0,45,14,25,25,27,1050,150,0,0,158,77,0,2100,950,2250,0,0,0,455,96,235,0,0,0,16,0,0,123,0,0,13,0,0,0,13,0,7,7,0,0,175,11,0,16,0,760,224,7,0,7,0,439,19,20,16,0,11,3450,0,0,114,0,7,79,7,0
2011-03-01,0,54,109,0,0,78,8,9,17,35,934,230,0,0,236,116,0,2150,1000,2400,0,0,0,473,82,292,0,0,0,24,0,0,173,0,0,14,6,0,0,11,0,12,0,0,0,225,9,0,20,0,820,218,0,0,6,6,462,17,15,20,0,8,2750,8,0,145,0,6,71,6,0
2011-04-01,0,35,82,0,0,95,0,36,24,22,884,175,0,0,222,108,6,2300,1150,2400,0,0,0,473,84,166,0,0,7,37,0,0,162,0,0,18,10,0,0,0,0,13,0,0,0,225,9,0,17,0,760,189,0,0,10,6,454,6,16,17,0,11,2600,0,0,156,0,7,74,13,0
2011-05-01,0,35,90,0,0,123,15,14,17,45,1034,175,0,0,250,124,9,2300,1350,2250,0,0,0,410,90,209,0,6,14,41,0,0,150,0,0,14,12,0,0,6,0,6,0,0,0,175,10,0,16,0,860,206,6,0,14,12,347,11,6,16,0,21,2500,0,0,180,0,6,106,9,6
2011-06-01,0,75,133,0,0,139,9,9,41,25,1100,240,0,0,322,147,6,2500,1450,3100,0,100,0,464,104,205,0,0,7,59,0,7,195,0,0,18,6,0,0,0,0,6,0,0,0,150,13,0,23,6,960,200,0,0,19,14,470,35,9,23,6,14,2800,8,0,204,6,6,66,6,0
2011-07-01,0,63,144,0,0,123,12,15,35,52,1234,295,0,5,400,224,0,2950,1850,3600,0,100,0,619,64,222,0,6,7,35,0,0,217,0,0,17,10,6,0,6,0,6,6,0,0,175,0,0,10,0,760,183,0,0,25,6,370,26,21,10,0,17,2950,15,0,204,0,17,50,6,6
2011-08-01,0,75,114,0,0,123,8,6,41,24,1450,295,0,5,343,208,0,2800,1800,3750,0,100,0,682,120,327,0,18,12,47,0,0,212,0,0,17,8,0,0,8,6,6,0,0,0,200,6,0,24,0,1180,165,0,0,16,0,400,19,15,24,0,10,3050,15,0,197,0,6,63,8,0
2011-09-01,0,210,133,0,0,123,11,32,40,48,1367,305,0,5,443,185,0,2800,1600,3350,0,100,0,646,84,240,0,6,15,44,0,0,200,0,0,19,9,5,0,11,0,6,0,0,0,175,10,0,17,0,2000,230,0,0,10,0,631,27,30,17,0,16,3100,8,0,169,0,6,78,6,6
2011-10-01,0,191,119,0,0,239,11,20,36,18,1434,290,0,5,379,200,0,2650,1950,3500,0,100,0,537,124,231,0,8,14,59,0,12,212,0,0,35,13,0,5,5,0,13,0,0,0,175,8,0,29,0,1460,206,5,0,27,6,608,5,21,29,0,17,3600,15,0,194,0,22,67,8,0
2011-11-01,0,175,146,0,0,278,5,10,28,26,1667,320,0,5,365,270,10,2900,2250,3450,0,200,0,437,124,261,0,11,12,36,0,5,134,0,0,13,14,5,5,8,0,5,0,5,0,175,5,7,24,0,1240,218,5,0,20,0,531,15,18,24,0,22,3400,8,0,200,0,11,43,8,8
2011-12-01,0,141,195,0,0,200,8,8,28,40,1534,365,0,10,393,277,0,3000,2450,4750,0,200,0,637,108,274,0,5,5,64,0,12,212,0,0,13,9,0,0,10,0,11,0,0,0,125,5,0,23,0,1260,218,0,0,32,6,593,8,14,23,0,17,4250,15,0,242,0,8,44,5,0
2012-01-01,0,125,195,0,5,145,16,32,41,48,1567,300,0,20,429,316,9,3100,2600,4300,0,300,0,564,98,261,0,5,10,79,0,9,267,0,0,14,8,0,0,9,0,5,0,0,0,200,10,0,31,0,1280,306,0,0,28,0,716,12,42,31,0,84,4800,22,0,290,0,10,66,7,6
2012-02-01,0,166,200,0,0,123,24,29,45,63,1667,275,0,25,322,285,7,2500,2550,3800,0,300,0,446,72,209,0,13,9,75,0,9,239,0,0,19,8,0,0,5,0,5,0,0,0,300,14,7,44,0,1200,448,0,0,39,5,770,7,120,44,0,109,4050,36,0,283,5,10,45,7,0
2012-03-01,0,132,200,0,0,139,24,18,41,36,1534,275,0,20,322,293,9,2550,2500,3750,0,400,0,528,104,287,0,13,15,61,0,14,223,0,0,16,11,9,5,18,0,8,0,0,0,275,14,7,34,0,940,400,0,0,31,0,647,18,68,34,0,97,4100,50,5,228,0,10,68,5,6
2012-04-01,0,129,182,0,10,162,15,9,28,41,1134,350,0,50,336,339,5,2650,3000,3850,0,1300,0,473,92,296,0,17,9,57,0,18,250,0,0,17,8,5,0,7,0,8,0,0,0,325,5,16,24,0,1100,206,5,0,39,5,577,40,27,24,0,46,4650,100,0,249,5,19,52,8,0
2012-05-01,0,138,149,0,9,206,17,13,38,48,1034,340,0,50,322,316,4,2550,2950,3600,0,1100,0,410,64,218,0,24,10,46,0,29,295,0,7,11,13,0,0,4,4,19,0,0,0,225,9,7,33,0,1080,218,5,0,32,0,416,22,8,33,0,17,4550,143,0,269,0,14,48,7,0
2012-06-01,0,147,179,0,5,189,10,9,39,59,1134,415,4,60,365,400,7,2750,3550,4000,0,1300,0,410,118,235,0,36,9,65,0,60,334,0,7,16,11,0,7,7,5,10,0,0,0,275,20,7,23,0,1060,195,0,0,36,5,354,11,15,23,0,23,5000,208,0,325,5,10,63,15,0
2012-07-01,0,97,165,0,5,256,10,16,50,70,1534,425,12,85,393,439,4,3100,4100,4300,0,1500,0,482,112,283,0,14,7,37,0,74,350,0,10,20,17,0,5,11,0,0,0,0,0,225,8,7,18,0,980,183,0,0,40,0,500,38,23,18,0,21,4600,250,0,325,0,10,59,5,8
2012-08-01,0,185,203,0,13,245,16,18,36,54,1534,450,8,110,486,531,4,3300,3800,4250,0,1300,0,428,108,274,5,32,10,38,0,65,184,0,0,16,19,0,10,18,0,6,0,0,0,150,7,10,27,0,1300,171,0,0,38,5,477,18,14,27,0,18,4600,208,5,335,0,19,47,5,10
2012-09-01,0,313,222,0,88,228,11,7,49,55,1250,330,8,105,415,462,4,3200,3250,4000,100,1500,0,401,90,340,5,19,14,43,0,89,189,0,14,7,14,4,0,9,4,9,0,0,0,150,12,13,25,0,1840,248,5,0,41,5,424,18,18,25,0,17,4350,236,0,269,0,10,35,9,8
2012-10-01,0,250,165,0,61,250,10,16,36,56,1050,290,32,80,343,362,8,2800,3400,3800,100,1600,0,391,120,314,0,24,9,54,0,67,289,0,4,18,7,0,9,0,6,17,4,0,0,225,13,13,16,0,1780,200,13,0,43,5,562,32,16,16,0,23,4400,258,5,332,0,11,42,6,6
2012-11-01,0,210,173,0,43,239,0,20,53,47,1334,345,96,95,343,393,4,2900,3600,3950,400,1500,0,437,98,344,0,32,14,66,0,65,456,0,9,16,4,6,4,8,4,7,4,0,0,375,9,10,22,4,1540,224,9,0,45,9,524,29,15,22,4,21,3550,229,17,342,0,9,59,11,10
2012-12-01,0,185,200,0,49,300,13,18,41,55,1400,385,120,150,429,431,8,3450,4200,4800,800,2900,0,428,130,287,13,33,10,61,0,74,145,9,4,21,12,8,4,0,4,11,4,0,0,325,4,304,31,0,1540,248,7,0,52,0,585,25,17,31,0,19,2300,308,42,304,0,9,50,7,4
2013-01-01,0,154,209,0,50,323,8,20,48,53,1234,395,84,195,436,539,7,3350,4150,4600,600,3300,0,482,122,257,8,22,56,59,0,125,150,7,8,9,6,7,4,6,4,6,0,0,0,200,9,91,28,0,1380,212,7,0,79,0,531,18,18,28,0,27,2000,358,25,345,4,12,75,9,4
2013-02-01,0,175,230,0,39,362,22,16,41,52,1084,425,40,190,465,577,6,3300,3850,4400,500,3500,0,437,102,279,4,30,43,38,0,109,123,4,4,16,13,0,4,8,4,9,4,9,4,250,13,25,42,0,1460,265,4,0,52,5,562,24,15,42,0,18,1800,365,42,273,0,6,66,17,6
2013-03-01,0,150,192,0,35,356,15,20,36,58,1200,390,88,165,400,416,7,3350,4000,4300,600,2200,0,401,122,240,6,23,78,48,0,114,428,4,12,18,8,0,4,9,4,8,9,0,0,200,9,28,34,0,1700,248,8,0,61,0,539,20,22,34,0,29,1650,408,55,252,0,17,65,9,4
2013-04-01,0,125,195,0,26,289,17,29,40,64,1234,360,100,165,422,385,5,3450,3500,4400,1100,2100,0,428,110,248,8,18,114,60,4,123,195,9,12,20,8,0,8,4,4,7,0,0,0,225,7,22,35,0,1080,236,6,0,55,8,477,20,22,35,0,16,1500,343,84,225,0,8,54,12,4
2013-05-01,0,160,152,0,31,378,11,23,47,46,984,395,104,185,479,454,9,3650,3450,4250,1400,2500,0,419,124,240,6,36,78,56,0,96,189,22,13,18,9,4,14,5,7,4,11,0,4,175,10,16,19,0,1080,230,4,0,60,5,447,16,24,19,0,20,1400,322,130,235,0,12,72,6,4
2013-06-01,0,135,214,0,27,439,17,28,44,70,1017,375,140,240,486,454,11,3850,3650,4550,1800,3700,0,373,132,314,10,39,43,42,0,112,162,22,12,17,30,4,9,7,7,8,24,0,4,175,6,13,24,0,1080,236,10,0,69,0,385,13,18,24,0,22,1300,343,175,211,4,26,84,8,6
2013-07-01,0,166,241,0,39,517,15,14,29,79,1200,435,168,200,565,439,4,3950,4350,4750,1700,2400,0,373,160,344,15,39,58,46,0,152,412,10,14,11,19,0,10,18,4,8,37,0,0,175,13,19,24,0,1320,230,18,0,82,5,385,11,17,24,0,21,1250,458,138,266,4,12,71,4,6
2013-08-01,0,160,271,0,24,450,17,22,45,82,1217,500,136,205,572,431,7,4050,4000,5000,1600,2500,0,391,156,335,13,45,123,46,0,140,223,6,4,14,14,4,10,11,7,4,27,4,4,150,13,22,18,4,1020,589,20,0,65,5,400,14,28,18,4,20,1250,443,109,263,4,12,48,4,8
