date,remove snapchat friends,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,15,24,0,0,13,2,4,6,12,372,43,0,0,58,16,2,189,575,0,132,20,61,0,0,0,7,0,0,33,0,0,5,3,0,0,3,0,5,0,2,0,36,3,0,0,3,0,258,61,0,0,2,0,122,3,8,3,0,3,1175,0,34,0,0,18,2,0
2011-02-01,0,15,30,0,0,12,3,3,8,6,329,52,0,0,48,26,2,212,538,0,113,25,57,0,0,0,4,0,0,30,0,0,7,2,0,0,3,0,2,0,0,0,42,3,0,0,5,0,222,48,0,0,2,0,102,2,5,5,0,5,913,0,35,0,2,23,2,0
2011-03-01,0,21,25,0,0,25,3,3,10,7,281,64,0,0,57,36,2,234,600,0,122,23,66,0,0,0,9,0,0,44,0,0,2,2,0,0,2,0,2,0,2,0,48,2,0,0,5,0,222,60,0,0,2,0,118,4,3,5,0,2,713,2,39,0,3,20,2,0
2011-04-01,0,9,18,0,0,25,2,7,7,10,262,49,0,0,64,26,3,267,613,0,108,19,62,0,0,3,11,0,0,46,0,0,7,3,0,0,2,0,3,0,0,0,48,3,0,0,5,0,206,51,0,0,3,0,116,2,6,5,0,4,675,0,47,0,3,18,2,2
2011-05-01,0,15,29,0,0,32,3,4,7,9,267,50,0,0,67,36,2,300,600,0,115,19,58,0,0,0,12,0,0,33,0,0,4,3,0,0,2,0,0,0,0,0,42,4,0,0,7,0,248,57,2,0,5,0,106,4,4,7,0,5,650,0,58,0,2,27,2,2
2011-06-01,0,19,35,0,0,45,2,3,13,8,296,81,0,0,76,38,2,345,788,0,120,35,56,0,0,2,11,0,2,48,0,0,4,0,2,0,3,0,3,0,0,0,36,3,0,0,5,0,248,47,0,0,5,2,120,5,2,5,0,4,738,2,59,0,2,21,2,0
2011-07-01,0,14,27,0,0,34,2,2,13,14,358,97,0,0,104,61,0,423,925,0,164,23,56,0,2,3,9,0,0,53,0,0,3,4,2,2,5,0,0,2,0,0,53,3,0,0,3,0,227,51,0,0,3,2,96,11,2,3,0,6,775,2,53,0,2,16,5,2
2011-08-01,0,26,46,0,0,32,2,3,6,7,420,93,0,0,95,48,2,423,913,0,186,24,78,0,2,2,14,0,0,61,0,0,2,2,0,0,2,0,0,0,0,0,48,2,0,0,6,0,327,51,0,10,3,2,102,4,3,6,0,5,750,0,57,0,2,21,3,0
2011-09-01,0,58,35,0,0,31,4,8,8,13,372,79,0,2,109,44,0,356,813,0,181,24,58,0,1,4,10,0,0,63,0,0,3,0,2,0,2,0,3,0,0,0,42,3,0,0,6,0,527,64,2,0,2,0,148,3,6,6,0,5,813,2,46,0,1,18,2,0
2011-10-01,0,48,32,0,0,60,4,4,11,8,462,69,0,3,90,63,0,423,850,0,132,28,60,0,1,3,15,0,0,48,0,0,5,5,0,1,1,0,1,0,0,0,36,4,0,0,5,0,379,54,0,0,5,1,148,3,5,5,0,5,938,2,60,0,10,18,3,0
2011-11-01,0,47,37,0,0,80,0,4,5,10,462,88,0,2,108,63,3,478,875,0,122,41,62,0,2,1,9,0,3,32,0,0,4,4,0,1,1,0,1,0,0,0,42,1,0,0,3,0,337,56,1,0,3,1,152,3,7,3,0,6,888,2,51,0,2,13,2,1
2011-12-01,0,39,57,0,0,46,3,3,8,10,424,97,0,3,99,77,0,523,1200,0,157,33,76,0,1,1,20,0,1,46,0,1,2,3,0,0,3,0,2,0,0,0,24,1,1,0,3,0,322,57,0,0,5,0,164,3,3,3,0,6,1075,2,74,0,2,13,1,1
2012-01-01,0,37,32,0,1,35,4,5,18,11,467,93,0,4,118,91,1,589,1063,0,147,22,65,0,1,2,17,0,2,61,0,0,4,3,0,0,3,0,2,0,0,0,42,6,2,0,8,0,327,93,0,0,8,0,188,2,16,8,0,19,1225,8,74,0,4,19,1,0
2012-02-01,0,38,52,0,0,37,4,5,15,13,458,85,0,7,81,79,3,567,938,0,125,20,57,0,3,2,20,0,3,63,0,0,5,3,1,0,3,1,2,0,0,0,65,4,1,0,8,1,311,127,0,0,8,2,200,4,24,8,1,29,1063,6,78,1,3,13,3,0
2012-03-01,0,33,69,0,3,45,5,3,14,11,477,81,0,4,76,71,1,556,950,0,122,28,63,0,6,1,14,0,3,63,0,0,4,3,1,0,3,1,1,0,0,0,65,6,0,0,9,0,258,115,0,0,12,0,170,6,22,9,0,28,1075,13,65,0,3,14,0,1
2012-04-01,0,35,40,0,2,53,1,3,11,12,329,99,0,17,81,89,1,667,963,0,130,22,63,0,4,3,19,0,6,79,0,1,10,2,3,1,3,1,1,0,0,0,59,2,2,0,6,0,285,64,1,0,8,1,152,15,7,6,0,11,1175,25,65,0,3,14,2,0
2012-05-01,0,41,41,0,1,53,3,3,13,12,315,100,2,19,85,87,0,667,938,0,110,26,61,0,3,2,15,0,9,76,0,1,4,4,0,0,3,2,9,0,1,0,48,2,2,0,8,0,290,60,1,0,9,1,98,6,4,8,0,7,1163,39,75,0,2,11,1,1
2012-06-01,0,36,48,0,2,49,3,5,13,14,320,108,2,21,92,116,1,778,1000,0,113,24,72,0,6,1,20,0,17,88,0,2,3,3,0,1,3,1,1,1,1,0,71,1,4,0,4,0,290,58,0,0,9,0,104,4,3,4,0,6,1250,41,84,0,4,15,2,0
2012-07-01,0,34,47,0,3,62,3,5,15,13,439,116,3,19,97,118,3,923,1075,0,103,28,87,0,5,3,12,0,20,84,0,4,5,4,0,0,0,0,3,0,0,1,53,2,0,0,5,0,269,54,1,0,10,0,142,5,4,5,0,5,1225,67,84,0,2,16,2,1
2012-08-01,1,56,58,0,3,64,3,5,11,12,400,128,5,25,116,136,1,856,1038,0,122,28,75,1,7,3,9,0,15,53,0,1,3,1,1,0,2,1,2,1,0,0,36,2,2,0,8,0,343,48,0,0,10,1,110,5,5,8,0,8,1175,58,82,1,2,14,2,1
2012-09-01,1,76,55,0,21,53,1,2,12,16,348,94,4,26,102,118,1,789,988,0,110,28,92,1,5,2,12,0,18,46,0,2,4,2,2,0,4,1,1,0,0,1,30,2,3,0,8,0,485,58,0,0,13,1,116,3,5,8,0,5,1113,63,74,0,2,8,2,3
2012-10-01,0,74,41,0,19,71,3,5,11,17,281,90,6,23,86,102,2,756,950,0,98,27,77,0,5,1,15,0,20,87,0,2,4,3,3,1,0,1,4,1,0,0,59,2,3,0,6,0,443,51,3,0,8,1,132,5,5,6,0,7,1113,67,77,0,2,11,2,0
2012-11-01,5,53,45,0,11,60,2,4,8,11,391,102,28,21,90,112,2,789,1000,0,122,26,74,0,9,3,14,0,16,111,1,1,3,2,2,0,2,1,2,0,0,1,95,2,1,0,7,1,400,60,1,0,13,2,168,5,4,7,1,7,888,67,87,1,1,16,2,1
2012-12-01,10,53,55,0,14,82,5,7,14,10,424,110,31,42,97,112,0,912,1188,0,130,33,80,3,10,4,16,0,20,44,2,1,2,3,1,1,0,1,2,1,0,1,89,3,82,0,7,0,437,64,1,0,11,0,136,5,5,7,0,5,588,78,76,0,1,13,2,2
2013-01-01,9,46,64,0,14,85,3,4,11,13,358,111,22,45,118,151,1,956,1125,0,130,34,70,2,5,13,18,0,31,29,3,3,3,2,4,0,2,0,1,1,0,0,48,2,20,0,8,0,379,63,1,0,22,0,142,4,4,8,0,5,500,95,76,1,2,14,2,1
