date,search without history,"how to change facebook privacy settings
","how to delete a youtube account
","how to delete a snapchat account
","how to delete a instagram account
","government monitoring social media
","how to uninstall facebook
","how to uninstall youtube
","how to uninstall snapchat
","how to uninstall instagram
","how to unfollow someone on facebook
","how to unfollow someone on twitter
","how to unfollow someone on instagram
","how to unfriend someone on facebook
","how to unfriend someone on instagram
","how to encrypt emails
","how to encrypt whatsapp
"
2011-01-01,47,64,195,0,0,6,546,222,0,0,8,23,0,106,0,19,0
2011-02-01,25,67,200,0,0,0,437,235,0,0,8,31,0,111,0,20,0
2011-03-01,38,70,230,0,0,12,373,292,0,0,0,28,0,148,0,8,0
2011-04-01,37,28,189,0,0,6,382,244,0,0,8,45,0,153,0,13,6
2011-05-01,36,46,236,0,0,6,419,205,0,0,0,54,0,127,0,15,6
2011-06-01,35,76,283,0,5,0,437,231,0,6,9,37,0,179,0,12,0
2011-07-01,41,43,336,0,5,0,582,296,0,9,8,46,0,190,0,14,6
2011-08-01,39,73,295,0,0,6,673,340,0,0,8,58,0,232,0,15,0
2011-09-01,40,219,330,0,5,0,655,266,0,9,15,42,0,200,0,14,6
2011-10-01,31,176,318,0,0,7,491,270,0,11,8,54,0,179,0,20,0
2011-11-01,38,182,324,0,5,8,464,266,0,5,6,49,0,137,0,19,6
2011-12-01,37,155,359,0,10,0,591,261,0,11,6,80,12,179,0,16,0
2012-01-01,46,131,306,0,15,10,537,257,0,0,11,84,9,222,0,13,4
2012-02-01,56,152,306,0,25,10,482,240,0,7,8,85,5,227,0,8,0
2012-03-01,45,143,306,0,15,5,446,283,0,10,8,47,7,222,0,13,0
2012-04-01,55,134,395,0,55,5,464,253,0,20,8,74,25,264,5,33,0
2012-05-01,44,134,377,5,55,0,428,270,0,22,8,47,36,290,5,13,0
2012-06-01,55,158,442,5,75,6,391,296,0,26,11,74,65,332,6,15,0
2012-07-01,59,125,512,9,90,10,437,322,0,22,11,50,67,290,0,19,10
2012-08-01,52,207,489,13,105,5,455,300,5,24,9,30,63,200,0,9,4
