date,google hangouts encryption,best anonymous browser,search without history,how to unfollow someone on facebook,how to unfriend someone on instagram,private instagram posts,gmail privacy policy,Encrypt phone calls
2011-01-01,0,57,187,0,0,0,168,0
2011-02-01,0,30,153,0,0,0,88,30
2011-03-01,0,67,109,0,0,0,52,54
2011-04-01,0,159,192,31,0,0,100,58
2011-05-01,0,83,140,0,0,0,68,0
2011-06-01,0,55,144,54,0,0,28,55
2011-07-01,0,42,283,54,0,0,28,41
2011-08-01,0,40,148,39,0,0,52,27
2011-09-01,0,177,205,77,0,0,112,0
2011-10-01,0,61,170,47,0,0,72,0
2011-11-01,0,61,161,24,0,25,92,24
2011-12-01,0,59,218,24,24,0,68,36
2012-01-01,0,99,235,47,0,0,256,65
2012-02-01,0,69,244,47,0,0,400,91
2012-03-01,0,55,166,24,0,0,316,65
2012-04-01,0,46,183,47,22,25,112,46
2012-05-01,0,63,214,39,21,21,40,32
2012-06-01,0,65,209,24,43,0,52,43
2012-07-01,0,97,218,62,0,21,84,32
2012-08-01,21,85,205,62,0,0,92,43
2012-09-01,0,53,287,31,42,0,92,43
2012-10-01,0,77,283,16,0,59,56,38
2012-11-01,19,87,196,54,19,0,56,19
2012-12-01,0,106,227,54,19,21,76,0
2013-01-01,0,106,222,254,53,18,60,52
2013-02-01,0,79,257,147,19,0,84,40
2013-03-01,0,112,192,262,26,35,68,52
2013-04-01,0,106,322,524,35,35,76,52
2013-05-01,0,69,209,354,17,18,100,35
2013-06-01,18,104,418,162,61,28,104,157
2013-07-01,17,51,305,247,43,42,132,60
2013-08-01,0,110,296,516,17,121,116,50
2013-09-01,17,51,287,400,34,83,100,83
2013-10-01,16,71,257,147,40,142,76,47
2013-11-01,16,81,253,216,65,128,164,49
2013-12-01,16,104,240,354,40,138,88,32
2014-01-01,52,120,314,600,15,180,68,60
2014-02-01,25,75,279,447,25,207,104,66
2014-03-01,29,97,261,270,0,238,92,36
2014-04-01,23,146,314,431,46,200,84,61
2014-05-01,15,32,340,477,62,156,52,69
2014-06-01,26,130,227,647,34,190,52,69
2014-07-01,17,75,340,754,58,242,72,50
2014-08-01,17,100,296,616,17,94,116,75
2014-09-01,32,50,335,277,24,176,88,72
2014-10-01,31,106,366,316,31,245,96,69
2014-11-01,31,163,348,424,55,249,100,55
2014-12-01,39,124,292,693,31,269,112,54
2015-01-01,29,108,227,616,36,283,84,43
2015-02-01,16,93,283,393,54,280,100,47
2015-03-01,49,134,314,308,28,156,116,77
2015-04-01,0,81,370,408,14,197,72,58
2015-05-01,21,112,357,600,35,256,88,49
2015-06-01,29,116,353,770,29,166,128,58
2015-07-01,100,171,405,370,36,194,112,85
2015-08-01,35,197,366,300,28,252,104,63
2015-09-01,35,83,344,400,55,200,100,69
2015-10-01,13,104,344,454,26,197,88,85
2015-11-01,40,195,322,300,67,176,104,74
2015-12-01,27,130,431,324,54,183,60,41
2016-01-01,45,110,322,347,32,225,96,58
2016-02-01,26,65,414,493,45,200,68,25
2016-03-01,42,126,370,331,42,228,92,36
2016-04-01,37,112,348,224,44,263,68,86
2016-05-01,42,114,344,239,48,207,84,49
2016-06-01,37,112,344,408,75,294,68,44
2016-07-01,44,132,396,631,56,314,84,44
2016-08-01,49,159,361,316,37,276,60,49
2016-09-01,79,79,435,316,49,318,100,49
2016-10-01,35,99,383,316,46,342,108,52
2016-11-01,41,128,383,408,70,228,96,99
2016-12-01,35,132,396,524,63,311,128,80
2017-01-01,27,148,379,493,49,345,100,60
