date,phone encryption,Encrypt phone calls
2011-01-01,31,1
2011-02-01,26,0
2011-03-01,26,1
2011-04-01,33,1
2011-05-01,31,2
2011-06-01,25,2
2011-07-01,31,1
2011-08-01,30,1
2011-09-01,26,1
2011-10-01,30,2
2011-11-01,28,1
2011-12-01,27,2
2012-01-01,29,2
2012-02-01,29,1
2012-03-01,29,3
2012-04-01,33,2
2012-05-01,34,2
2012-06-01,31,1
2012-07-01,32,2
2012-08-01,31,3
2012-09-01,30,1
2012-10-01,31,2
2012-11-01,33,1
2012-12-01,37,2
2013-01-01,31,2
2013-02-01,33,2
2013-03-01,31,2
2013-04-01,33,1
2013-05-01,34,2
2013-06-01,43,5
2013-07-01,40,3
2013-08-01,39,3
2013-09-01,36,2
2013-10-01,41,1
2013-11-01,39,1
2013-12-01,42,2
2014-01-01,44,2
2014-02-01,44,2
2014-03-01,38,2
2014-04-01,40,2
2014-05-01,38,2
2014-06-01,42,2
2014-07-01,49,2
2014-08-01,38,2
2014-09-01,62,3
2014-10-01,66,5
2014-11-01,62,2
2014-12-01,58,2
2015-01-01,53,3
2015-02-01,51,2
2015-03-01,49,4
2015-04-01,47,2
2015-05-01,52,2
2015-06-01,50,2
2015-07-01,50,3
2015-08-01,55,3
2015-09-01,55,1
2015-10-01,53,3
2015-11-01,63,3
2015-12-01,51,2
2016-01-01,56,3
2016-02-01,100,2
2016-03-01,85,2
2016-04-01,83,2
2016-05-01,62,2
2016-06-01,57,2
2016-07-01,55,2
2016-08-01,54,2
2016-09-01,59,2
2016-10-01,57,2
2016-11-01,59,3
2016-12-01,54,3
2017-01-01,57,2
