date,social media monitoring software,government monitoring social media
2011-01-01,62,15
2011-02-01,49,16
2011-03-01,69,15
2011-04-01,73,16
2011-05-01,69,22
2011-06-01,81,15
2011-07-01,100,18
2011-08-01,71,21
2011-09-01,41,24
2011-10-01,66,26
2011-11-01,57,20
2011-12-01,39,13
2012-01-01,80,12
2012-02-01,62,21
2012-03-01,51,12
2012-04-01,73,12
2012-05-01,60,15
2012-06-01,67,18
2012-07-01,62,35
2012-08-01,50,17
2012-09-01,76,12
2012-10-01,63,10
2012-11-01,52,10
2012-12-01,49,11
2013-01-01,44,16
2013-02-01,63,32
2013-03-01,50,9
2013-04-01,29,13
2013-05-01,40,14
2013-06-01,51,41
2013-07-01,31,19
2013-08-01,68,18
2013-09-01,46,9
2013-10-01,26,17
2013-11-01,35,24
2013-12-01,35,29
2014-01-01,33,14
2014-02-01,27,12
2014-03-01,46,8
2014-04-01,31,14
2014-05-01,25,14
2014-06-01,47,13
2014-07-01,30,18
2014-08-01,37,9
2014-09-01,41,15
2014-10-01,39,19
2014-11-01,48,20
2014-12-01,36,8
2015-01-01,26,16
2015-02-01,36,17
2015-03-01,49,23
2015-04-01,47,20
2015-05-01,36,20
2015-06-01,47,16
2015-07-01,23,16
2015-08-01,48,15
2015-09-01,32,7
2015-10-01,38,7
2015-11-01,51,12
2015-12-01,37,12
2016-01-01,40,12
2016-02-01,42,23
2016-03-01,39,9
2016-04-01,65,10
2016-05-01,48,9
2016-06-01,23,14
2016-07-01,32,9
2016-08-01,60,7
2016-09-01,44,13
2016-10-01,46,16
2016-11-01,59,8
2016-12-01,27,13
2017-01-01,48,9
