date,best free proxy,how to browse anonymously
2011-01-01,49,4
2011-02-01,45,3
2011-03-01,44,1
2011-04-01,53,2
2011-05-01,45,2
2011-06-01,41,4
2011-07-01,41,5
2011-08-01,44,5
2011-09-01,43,6
2011-10-01,38,3
2011-11-01,45,2
2011-12-01,45,3
2012-01-01,48,5
2012-02-01,53,4
2012-03-01,47,6
2012-04-01,50,3
2012-05-01,55,3
2012-06-01,56,4
2012-07-01,53,4
2012-08-01,62,3
2012-09-01,51,5
2012-10-01,60,4
2012-11-01,57,6
2012-12-01,66,5
2013-01-01,63,4
2013-02-01,65,3
2013-03-01,59,3
2013-04-01,62,5
2013-05-01,66,6
2013-06-01,68,5
2013-07-01,60,5
2013-08-01,75,5
2013-09-01,68,6
2013-10-01,74,3
2013-11-01,70,5
2013-12-01,78,5
2014-01-01,88,5
2014-02-01,100,6
2014-03-01,76,6
2014-04-01,71,6
2014-05-01,73,4
2014-06-01,83,7
2014-07-01,84,8
2014-08-01,88,7
2014-09-01,87,4
2014-10-01,76,5
2014-11-01,75,5
2014-12-01,80,7
2015-01-01,74,5
2015-02-01,71,4
2015-03-01,70,5
2015-04-01,69,6
2015-05-01,61,4
2015-06-01,63,4
2015-07-01,65,6
2015-08-01,75,8
2015-09-01,66,7
2015-10-01,67,6
2015-11-01,54,5
2015-12-01,63,3
2016-01-01,75,4
2016-02-01,57,4
2016-03-01,60,3
2016-04-01,55,3
2016-05-01,54,4
2016-06-01,57,4
2016-07-01,67,6
2016-08-01,68,4
2016-09-01,63,5
2016-10-01,68,4
2016-11-01,58,4
2016-12-01,60,5
2017-01-01,57,5
