date,download anonymox,how to browse anonymously
2011-01-01,0,3
2011-02-01,0,2
2011-03-01,0,2
2011-04-01,0,1
2011-05-01,0,2
2011-06-01,1,3
2011-07-01,0,4
2011-08-01,0,4
2011-09-01,0,4
2011-10-01,1,2
2011-11-01,0,2
2011-12-01,1,3
2012-01-01,2,4
2012-02-01,4,3
2012-03-01,5,4
2012-04-01,3,4
2012-05-01,5,3
2012-06-01,14,3
2012-07-01,6,4
2012-08-01,8,3
2012-09-01,14,4
2012-10-01,13,4
2012-11-01,15,4
2012-12-01,15,4
2013-01-01,14,4
2013-02-01,13,3
2013-03-01,15,3
2013-04-01,18,5
2013-05-01,35,4
2013-06-01,30,5
2013-07-01,31,4
2013-08-01,29,5
2013-09-01,28,5
2013-10-01,30,3
2013-11-01,35,4
2013-12-01,33,4
2014-01-01,38,4
2014-02-01,42,5
2014-03-01,47,5
2014-04-01,48,5
2014-05-01,48,4
2014-06-01,58,6
2014-07-01,62,6
2014-08-01,75,7
2014-09-01,75,4
2014-10-01,67,5
2014-11-01,77,5
2014-12-01,68,5
2015-01-01,64,5
2015-02-01,61,4
2015-03-01,64,5
2015-04-01,63,5
2015-05-01,63,4
2015-06-01,69,3
2015-07-01,69,5
2015-08-01,73,7
2015-09-01,66,5
2015-10-01,68,4
2015-11-01,68,3
2015-12-01,73,3
2016-01-01,94,4
2016-02-01,100,5
2016-03-01,92,3
2016-04-01,75,3
2016-05-01,63,3
2016-06-01,65,3
2016-07-01,65,5
2016-08-01,68,4
2016-09-01,64,3
2016-10-01,65,4
2016-11-01,53,4
2016-12-01,62,4
2017-01-01,55,4
