date,how can i hide my friends list on facebook,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,16,14
2011-03-01,16,24
2011-04-01,12,13
2011-05-01,19,18
2011-06-01,16,20
2011-07-01,18,20
2011-08-01,33,24
2011-09-01,26,66
2011-10-01,19,62
2011-11-01,13,50
2011-12-01,26,44
2012-01-01,21,38
2012-02-01,7,55
2012-03-01,12,47
2012-04-01,10,59
2012-05-01,8,46
2012-06-01,16,42
2012-07-01,15,52
2012-08-01,18,75
2012-09-01,21,100
2012-10-01,17,88
2012-11-01,10,72
2012-12-01,20,70
2013-01-01,16,50
2013-02-01,15,53
2013-03-01,12,51
2013-04-01,12,45
2013-05-01,10,43
2013-06-01,20,53
2013-07-01,11,54
2013-08-01,15,44
2013-09-01,8,49
2013-10-01,12,44
2013-11-01,12,41
2013-12-01,8,44
2014-01-01,13,36
2014-02-01,14,28
2014-03-01,16,33
2014-04-01,15,42
2014-05-01,12,38
2014-06-01,17,40
2014-07-01,16,35
2014-08-01,23,49
2014-09-01,12,32
2014-10-01,7,40
2014-11-01,14,30
2014-12-01,20,30
2015-01-01,21,34
2015-02-01,13,28
2015-03-01,15,28
2015-04-01,11,33
2015-05-01,16,35
2015-06-01,22,36
2015-07-01,8,33
2015-08-01,12,37
2015-09-01,12,30
2015-10-01,31,28
2015-11-01,14,35
2015-12-01,11,31
2016-01-01,16,37
2016-02-01,17,31
2016-03-01,16,26
2016-04-01,20,25
2016-05-01,10,27
2016-06-01,17,30
2016-07-01,20,37
2016-08-01,28,36
2016-09-01,21,31
2016-10-01,13,26
2016-11-01,17,29
2016-12-01,25,30
2017-01-01,21,33
