date,how to hide photos on facebook,how to change facebook privacy settings
2011-01-01,23,10
2011-02-01,24,6
2011-03-01,20,10
2011-04-01,18,6
2011-05-01,27,8
2011-06-01,26,10
2011-07-01,33,9
2011-08-01,38,13
2011-09-01,86,28
2011-10-01,83,26
2011-11-01,100,23
2011-12-01,98,20
2012-01-01,82,18
2012-02-01,74,24
2012-03-01,61,19
2012-04-01,69,24
2012-05-01,61,23
2012-06-01,60,20
2012-07-01,76,19
2012-08-01,88,35
2012-09-01,78,47
2012-10-01,69,42
2012-11-01,66,31
2012-12-01,68,30
2013-01-01,69,25
2013-02-01,69,23
2013-03-01,58,23
2013-04-01,62,19
2013-05-01,61,20
2013-06-01,65,23
2013-07-01,78,24
2013-08-01,67,21
2013-09-01,72,22
2013-10-01,65,22
2013-11-01,60,18
2013-12-01,49,18
2014-01-01,56,19
2014-02-01,51,13
2014-03-01,47,16
2014-04-01,49,18
2014-05-01,45,17
2014-06-01,47,17
2014-07-01,47,15
2014-08-01,46,22
2014-09-01,43,15
2014-10-01,45,17
2014-11-01,39,13
2014-12-01,48,13
2015-01-01,37,16
2015-02-01,36,13
2015-03-01,37,14
2015-04-01,35,15
2015-05-01,33,16
2015-06-01,34,16
2015-07-01,36,16
2015-08-01,40,17
2015-09-01,35,14
2015-10-01,39,11
2015-11-01,36,15
2015-12-01,35,15
2016-01-01,39,16
2016-02-01,30,14
2016-03-01,36,13
2016-04-01,32,12
2016-05-01,33,12
2016-06-01,38,14
2016-07-01,38,16
2016-08-01,42,15
2016-09-01,36,13
2016-10-01,40,13
2016-11-01,35,12
2016-12-01,42,12
2017-01-01,37,13
