date,privacy meaning,how to change facebook privacy settings
2011-01-01,18,15
2011-02-01,33,9
2011-03-01,26,15
2011-04-01,25,10
2011-05-01,20,12
2011-06-01,25,15
2011-07-01,28,14
2011-08-01,28,20
2011-09-01,37,43
2011-10-01,31,39
2011-11-01,30,34
2011-12-01,29,30
2012-01-01,34,27
2012-02-01,37,36
2012-03-01,34,29
2012-04-01,32,36
2012-05-01,33,34
2012-06-01,31,31
2012-07-01,28,29
2012-08-01,38,53
2012-09-01,45,71
2012-10-01,35,63
2012-11-01,31,47
2012-12-01,29,45
2013-01-01,39,38
2013-02-01,35,35
2013-03-01,34,35
2013-04-01,34,29
2013-05-01,33,31
2013-06-01,34,35
2013-07-01,36,36
2013-08-01,42,32
2013-09-01,44,33
2013-10-01,44,34
2013-11-01,51,27
2013-12-01,41,28
2014-01-01,44,28
2014-02-01,45,20
2014-03-01,51,23
2014-04-01,53,27
2014-05-01,51,26
2014-06-01,46,26
2014-07-01,47,22
2014-08-01,52,33
2014-09-01,55,23
2014-10-01,55,26
2014-11-01,57,20
2014-12-01,52,19
2015-01-01,49,24
2015-02-01,54,20
2015-03-01,64,21
2015-04-01,61,23
2015-05-01,58,24
2015-06-01,55,24
2015-07-01,64,24
2015-08-01,71,26
2015-09-01,86,21
2015-10-01,81,17
2015-11-01,76,22
2015-12-01,65,23
2016-01-01,78,24
2016-02-01,89,20
2016-03-01,88,19
2016-04-01,84,18
2016-05-01,80,18
2016-06-01,87,21
2016-07-01,83,24
2016-08-01,83,23
2016-09-01,94,20
2016-10-01,95,20
2016-11-01,100,18
2016-12-01,82,18
2017-01-01,100,20
