date,specific friends on facebook,how to change facebook privacy settings
2011-01-01,12,21
2011-02-01,13,12
2011-03-01,10,22
2011-04-01,12,14
2011-05-01,9,17
2011-06-01,11,22
2011-07-01,13,20
2011-08-01,13,29
2011-09-01,18,60
2011-10-01,20,55
2011-11-01,14,48
2011-12-01,13,42
2012-01-01,10,39
2012-02-01,14,51
2012-03-01,11,41
2012-04-01,11,51
2012-05-01,8,48
2012-06-01,7,44
2012-07-01,19,41
2012-08-01,13,75
2012-09-01,14,100
2012-10-01,11,90
2012-11-01,12,66
2012-12-01,10,64
2013-01-01,10,54
2013-02-01,8,50
2013-03-01,14,49
2013-04-01,11,42
2013-05-01,10,44
2013-06-01,10,50
2013-07-01,9,51
2013-08-01,9,45
2013-09-01,11,47
2013-10-01,6,48
2013-11-01,12,38
2013-12-01,6,39
2014-01-01,8,40
2014-02-01,12,28
2014-03-01,11,33
2014-04-01,12,38
2014-05-01,13,36
2014-06-01,9,37
2014-07-01,11,32
2014-08-01,12,47
2014-09-01,12,32
2014-10-01,11,36
2014-11-01,10,28
2014-12-01,8,27
2015-01-01,9,34
2015-02-01,10,29
2015-03-01,11,29
2015-04-01,12,32
2015-05-01,11,33
2015-06-01,13,34
2015-07-01,12,34
2015-08-01,12,36
2015-09-01,13,29
2015-10-01,13,24
2015-11-01,12,31
2015-12-01,14,32
2016-01-01,14,33
2016-02-01,15,29
2016-03-01,16,27
2016-04-01,12,25
2016-05-01,12,26
2016-06-01,16,30
2016-07-01,13,35
2016-08-01,12,33
2016-09-01,12,28
2016-10-01,13,28
2016-11-01,16,26
2016-12-01,12,25
2017-01-01,14,29
