date,hack private instagram,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,2,0
2011-09-01,2,0
2011-10-01,2,0
2011-11-01,2,0
2011-12-01,2,0
2012-01-01,2,2
2012-02-01,3,3
2012-03-01,3,4
2012-04-01,8,4
2012-05-01,5,5
2012-06-01,15,3
2012-07-01,18,4
2012-08-01,21,5
2012-09-01,20,32
2012-10-01,20,29
2012-11-01,28,17
2012-12-01,36,19
2013-01-01,33,23
2013-02-01,35,12
2013-03-01,42,16
2013-04-01,48,9
2013-05-01,52,14
2013-06-01,60,18
2013-07-01,72,17
2013-08-01,75,16
2013-09-01,77,13
2013-10-01,56,10
2013-11-01,66,8
2013-12-01,73,14
2014-01-01,73,14
2014-02-01,82,9
2014-03-01,77,11
2014-04-01,84,11
2014-05-01,72,9
2014-06-01,82,13
2014-07-01,76,16
2014-08-01,64,13
2014-09-01,64,10
2014-10-01,61,9
2014-11-01,68,6
2014-12-01,70,8
2015-01-01,81,9
2015-02-01,79,5
2015-03-01,72,6
2015-04-01,80,6
2015-05-01,85,4
2015-06-01,91,6
2015-07-01,90,9
2015-08-01,87,2
2015-09-01,73,5
2015-10-01,78,5
2015-11-01,71,3
2015-12-01,73,6
2016-01-01,78,4
2016-02-01,74,3
2016-03-01,73,3
2016-04-01,89,4
2016-05-01,82,3
2016-06-01,92,4
2016-07-01,97,7
2016-08-01,93,5
2016-09-01,96,5
2016-10-01,100,5
2016-11-01,84,4
2016-12-01,96,4
2017-01-01,94,4
