date,how to hack instagram password,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,1,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,1,0
2011-11-01,1,0
2011-12-01,1,0
2012-01-01,1,1
2012-02-01,1,2
2012-03-01,1,2
2012-04-01,3,2
2012-05-01,4,2
2012-06-01,4,2
2012-07-01,7,2
2012-08-01,12,3
2012-09-01,8,16
2012-10-01,10,15
2012-11-01,12,9
2012-12-01,16,10
2013-01-01,17,12
2013-02-01,18,6
2013-03-01,25,8
2013-04-01,29,4
2013-05-01,39,7
2013-06-01,36,9
2013-07-01,46,9
2013-08-01,55,8
2013-09-01,32,7
2013-10-01,40,5
2013-11-01,40,4
2013-12-01,38,7
2014-01-01,52,7
2014-02-01,48,4
2014-03-01,50,5
2014-04-01,55,6
2014-05-01,55,4
2014-06-01,61,7
2014-07-01,78,8
2014-08-01,69,6
2014-09-01,56,5
2014-10-01,55,5
2014-11-01,62,3
2014-12-01,81,4
2015-01-01,79,5
2015-02-01,73,2
2015-03-01,64,3
2015-04-01,60,3
2015-05-01,63,2
2015-06-01,70,3
2015-07-01,83,5
2015-08-01,72,1
2015-09-01,62,2
2015-10-01,55,2
2015-11-01,57,2
2015-12-01,65,3
2016-01-01,84,2
2016-02-01,69,1
2016-03-01,72,2
2016-04-01,77,2
2016-05-01,69,2
2016-06-01,85,2
2016-07-01,100,3
2016-08-01,96,3
2016-09-01,86,3
2016-10-01,76,3
2016-11-01,75,2
2016-12-01,91,2
2017-01-01,96,2
