date,change google password android,how to delete a google account
2011-01-01,8,35
2011-02-01,12,28
2011-03-01,7,29
2011-04-01,6,31
2011-05-01,6,35
2011-06-01,9,40
2011-07-01,14,51
2011-08-01,10,49
2011-09-01,13,58
2011-10-01,17,52
2011-11-01,17,52
2011-12-01,16,51
2012-01-01,14,61
2012-02-01,14,41
2012-03-01,14,41
2012-04-01,16,43
2012-05-01,16,46
2012-06-01,21,50
2012-07-01,18,57
2012-08-01,20,70
2012-09-01,18,58
2012-10-01,19,43
2012-11-01,15,50
2012-12-01,18,58
2013-01-01,16,61
2013-02-01,14,60
2013-03-01,17,53
2013-04-01,16,62
2013-05-01,15,67
2013-06-01,13,68
2013-07-01,16,80
2013-08-01,14,74
2013-09-01,20,70
2013-10-01,18,77
2013-11-01,19,79
2013-12-01,20,84
2014-01-01,18,88
2014-02-01,17,90
2014-03-01,23,86
2014-04-01,40,82
2014-05-01,20,82
2014-06-01,23,82
2014-07-01,21,91
2014-08-01,26,89
2014-09-01,34,79
2014-10-01,25,77
2014-11-01,22,82
2014-12-01,24,76
2015-01-01,24,79
2015-02-01,20,71
2015-03-01,23,70
2015-04-01,21,70
2015-05-01,24,74
2015-06-01,25,79
2015-07-01,21,80
2015-08-01,20,87
2015-09-01,20,79
2015-10-01,22,77
2015-11-01,20,76
2015-12-01,23,78
2016-01-01,22,93
2016-02-01,19,76
2016-03-01,15,73
2016-04-01,18,81
2016-05-01,23,77
2016-06-01,24,78
2016-07-01,24,100
2016-08-01,26,96
2016-09-01,26,84
2016-10-01,24,84
2016-11-01,24,81
2016-12-01,24,97
2017-01-01,28,94
