date,delete all history,how to delete a google account
2011-01-01,32,16
2011-02-01,29,13
2011-03-01,26,13
2011-04-01,28,14
2011-05-01,32,16
2011-06-01,33,18
2011-07-01,30,23
2011-08-01,33,22
2011-09-01,31,26
2011-10-01,32,23
2011-11-01,31,23
2011-12-01,34,23
2012-01-01,32,27
2012-02-01,30,18
2012-03-01,32,18
2012-04-01,31,19
2012-05-01,34,21
2012-06-01,38,22
2012-07-01,34,25
2012-08-01,39,31
2012-09-01,37,26
2012-10-01,37,19
2012-11-01,33,22
2012-12-01,43,26
2013-01-01,42,27
2013-02-01,39,27
2013-03-01,40,24
2013-04-01,38,28
2013-05-01,36,30
2013-06-01,41,30
2013-07-01,44,36
2013-08-01,45,33
2013-09-01,40,31
2013-10-01,35,35
2013-11-01,37,35
2013-12-01,45,38
2014-01-01,44,40
2014-02-01,45,40
2014-03-01,49,38
2014-04-01,42,37
2014-05-01,45,37
2014-06-01,46,37
2014-07-01,44,40
2014-08-01,46,40
2014-09-01,43,35
2014-10-01,41,35
2014-11-01,47,37
2014-12-01,47,34
2015-01-01,44,36
2015-02-01,45,32
2015-03-01,44,31
2015-04-01,51,31
2015-05-01,50,33
2015-06-01,53,35
2015-07-01,51,36
2015-08-01,54,39
2015-09-01,57,36
2015-10-01,58,34
2015-11-01,50,34
2015-12-01,56,35
2016-01-01,55,42
2016-02-01,61,34
2016-03-01,52,33
2016-04-01,56,36
2016-05-01,57,34
2016-06-01,57,35
2016-07-01,63,45
2016-08-01,60,43
2016-09-01,56,37
2016-10-01,68,37
2016-11-01,83,36
2016-12-01,100,43
2017-01-01,100,42
