date,gmail account preferences,how to delete a google account
2011-01-01,0,39
2011-02-01,0,27
2011-03-01,2,31
2011-04-01,1,32
2011-05-01,2,32
2011-06-01,1,37
2011-07-01,1,53
2011-08-01,1,51
2011-09-01,1,57
2011-10-01,1,51
2011-11-01,1,50
2011-12-01,1,51
2012-01-01,1,56
2012-02-01,1,40
2012-03-01,2,41
2012-04-01,1,44
2012-05-01,1,45
2012-06-01,1,49
2012-07-01,1,56
2012-08-01,1,67
2012-09-01,3,58
2012-10-01,1,41
2012-11-01,1,48
2012-12-01,1,59
2013-01-01,1,61
2013-02-01,1,59
2013-03-01,1,51
2013-04-01,1,62
2013-05-01,1,65
2013-06-01,1,65
2013-07-01,2,76
2013-08-01,1,74
2013-09-01,1,71
2013-10-01,1,78
2013-11-01,1,75
2013-12-01,1,80
2014-01-01,3,90
2014-02-01,1,90
2014-03-01,1,87
2014-04-01,0,78
2014-05-01,1,78
2014-06-01,2,78
2014-07-01,1,93
2014-08-01,1,82
2014-09-01,1,77
2014-10-01,1,77
2014-11-01,1,83
2014-12-01,1,72
2015-01-01,1,77
2015-02-01,1,69
2015-03-01,1,68
2015-04-01,1,67
2015-05-01,1,75
2015-06-01,5,81
2015-07-01,5,78
2015-08-01,5,86
2015-09-01,2,79
2015-10-01,2,77
2015-11-01,3,70
2015-12-01,4,77
2016-01-01,3,87
2016-02-01,2,75
2016-03-01,3,71
2016-04-01,2,82
2016-05-01,3,75
2016-06-01,1,76
2016-07-01,4,100
2016-08-01,3,92
2016-09-01,5,79
2016-10-01,3,82
2016-11-01,3,78
2016-12-01,6,94
2017-01-01,4,92
