date,google account change password,how to delete a google account
2011-01-01,8,16
2011-02-01,8,12
2011-03-01,10,13
2011-04-01,8,14
2011-05-01,8,16
2011-06-01,9,18
2011-07-01,12,23
2011-08-01,11,22
2011-09-01,11,26
2011-10-01,12,23
2011-11-01,13,23
2011-12-01,13,23
2012-01-01,12,27
2012-02-01,14,18
2012-03-01,10,18
2012-04-01,14,19
2012-05-01,15,21
2012-06-01,16,22
2012-07-01,17,25
2012-08-01,21,31
2012-09-01,17,26
2012-10-01,18,19
2012-11-01,15,22
2012-12-01,18,26
2013-01-01,17,27
2013-02-01,20,27
2013-03-01,17,24
2013-04-01,17,28
2013-05-01,18,30
2013-06-01,16,30
2013-07-01,19,36
2013-08-01,20,33
2013-09-01,21,31
2013-10-01,20,34
2013-11-01,21,35
2013-12-01,23,38
2014-01-01,25,39
2014-02-01,27,40
2014-03-01,25,38
2014-04-01,43,36
2014-05-01,25,37
2014-06-01,27,37
2014-07-01,30,40
2014-08-01,31,40
2014-09-01,37,35
2014-10-01,31,35
2014-11-01,27,37
2014-12-01,34,34
2015-01-01,38,35
2015-02-01,35,32
2015-03-01,38,31
2015-04-01,41,31
2015-05-01,45,33
2015-06-01,46,35
2015-07-01,50,36
2015-08-01,53,39
2015-09-01,55,35
2015-10-01,55,34
2015-11-01,52,34
2015-12-01,61,35
2016-01-01,66,42
2016-02-01,65,34
2016-03-01,62,33
2016-04-01,59,36
2016-05-01,68,34
2016-06-01,73,35
2016-07-01,79,45
2016-08-01,91,43
2016-09-01,84,37
2016-10-01,89,37
2016-11-01,87,36
2016-12-01,100,43
2017-01-01,96,42
