date,how to delete google account on android,how to delete a google account
2011-01-01,2,31
2011-02-01,2,26
2011-03-01,2,28
2011-04-01,2,31
2011-05-01,2,37
2011-06-01,1,43
2011-07-01,3,49
2011-08-01,3,44
2011-09-01,2,58
2011-10-01,2,50
2011-11-01,4,46
2011-12-01,7,50
2012-01-01,3,62
2012-02-01,4,42
2012-03-01,4,41
2012-04-01,5,44
2012-05-01,5,45
2012-06-01,7,48
2012-07-01,4,58
2012-08-01,4,64
2012-09-01,6,55
2012-10-01,10,45
2012-11-01,6,48
2012-12-01,8,58
2013-01-01,5,56
2013-02-01,7,61
2013-03-01,4,54
2013-04-01,6,60
2013-05-01,8,65
2013-06-01,10,67
2013-07-01,9,80
2013-08-01,10,72
2013-09-01,11,72
2013-10-01,10,71
2013-11-01,11,79
2013-12-01,13,83
2014-01-01,14,87
2014-02-01,9,90
2014-03-01,9,86
2014-04-01,10,81
2014-05-01,11,81
2014-06-01,12,82
2014-07-01,11,90
2014-08-01,11,89
2014-09-01,14,80
2014-10-01,16,73
2014-11-01,13,79
2014-12-01,16,82
2015-01-01,12,75
2015-02-01,14,67
2015-03-01,11,68
2015-04-01,14,70
2015-05-01,13,69
2015-06-01,14,76
2015-07-01,14,79
2015-08-01,14,86
2015-09-01,11,80
2015-10-01,12,76
2015-11-01,9,75
2015-12-01,16,77
2016-01-01,9,95
2016-02-01,12,75
2016-03-01,11,74
2016-04-01,11,77
2016-05-01,11,78
2016-06-01,13,74
2016-07-01,17,100
2016-08-01,15,94
2016-09-01,15,83
2016-10-01,16,87
2016-11-01,13,76
2016-12-01,17,96
2017-01-01,16,93
