date,how to delete instagram account on phone,how to delete a google account
2011-01-01,0,35
2011-02-01,0,28
2011-03-01,0,29
2011-04-01,0,31
2011-05-01,0,35
2011-06-01,0,40
2011-07-01,0,51
2011-08-01,0,49
2011-09-01,0,58
2011-10-01,1,52
2011-11-01,1,52
2011-12-01,1,51
2012-01-01,1,61
2012-02-01,1,41
2012-03-01,1,41
2012-04-01,1,43
2012-05-01,1,46
2012-06-01,1,50
2012-07-01,1,57
2012-08-01,1,70
2012-09-01,2,58
2012-10-01,1,43
2012-11-01,1,50
2012-12-01,2,58
2013-01-01,2,61
2013-02-01,3,60
2013-03-01,2,53
2013-04-01,1,62
2013-05-01,3,67
2013-06-01,3,68
2013-07-01,4,80
2013-08-01,5,74
2013-09-01,3,70
2013-10-01,2,77
2013-11-01,2,79
2013-12-01,3,84
2014-01-01,2,88
2014-02-01,3,90
2014-03-01,3,86
2014-04-01,1,82
2014-05-01,2,82
2014-06-01,3,82
2014-07-01,3,91
2014-08-01,3,89
2014-09-01,3,79
2014-10-01,3,77
2014-11-01,3,82
2014-12-01,4,76
2015-01-01,4,79
2015-02-01,6,71
2015-03-01,5,70
2015-04-01,5,70
2015-05-01,6,74
2015-06-01,10,79
2015-07-01,7,80
2015-08-01,5,87
2015-09-01,6,79
2015-10-01,7,77
2015-11-01,8,76
2015-12-01,18,78
2016-01-01,10,93
2016-02-01,6,76
2016-03-01,6,73
2016-04-01,6,81
2016-05-01,6,77
2016-06-01,10,78
2016-07-01,8,100
2016-08-01,6,96
2016-09-01,5,84
2016-10-01,5,84
2016-11-01,6,81
2016-12-01,9,97
2017-01-01,10,94
