date,phone settings,how to delete a google account
2011-01-01,52,4
2011-02-01,52,3
2011-03-01,49,4
2011-04-01,50,4
2011-05-01,51,4
2011-06-01,54,4
2011-07-01,56,6
2011-08-01,56,6
2011-09-01,55,7
2011-10-01,56,6
2011-11-01,58,6
2011-12-01,61,6
2012-01-01,57,6
2012-02-01,52,5
2012-03-01,55,5
2012-04-01,56,5
2012-05-01,56,5
2012-06-01,61,6
2012-07-01,63,6
2012-08-01,66,8
2012-09-01,68,7
2012-10-01,62,5
2012-11-01,61,6
2012-12-01,67,7
2013-01-01,68,7
2013-02-01,70,7
2013-03-01,67,6
2013-04-01,67,7
2013-05-01,69,7
2013-06-01,71,7
2013-07-01,74,9
2013-08-01,77,8
2013-09-01,78,8
2013-10-01,74,9
2013-11-01,70,9
2013-12-01,76,9
2014-01-01,75,10
2014-02-01,72,10
2014-03-01,75,10
2014-04-01,72,9
2014-05-01,74,9
2014-06-01,72,9
2014-07-01,79,11
2014-08-01,80,9
2014-09-01,84,9
2014-10-01,83,9
2014-11-01,78,9
2014-12-01,85,8
2015-01-01,82,9
2015-02-01,79,8
2015-03-01,78,8
2015-04-01,81,8
2015-05-01,77,9
2015-06-01,85,9
2015-07-01,90,9
2015-08-01,86,10
2015-09-01,89,9
2015-10-01,85,9
2015-11-01,80,8
2015-12-01,93,9
2016-01-01,88,10
2016-02-01,80,9
2016-03-01,82,8
2016-04-01,83,9
2016-05-01,82,9
2016-06-01,83,9
2016-07-01,97,11
2016-08-01,93,11
2016-09-01,96,9
2016-10-01,97,9
2016-11-01,93,9
2016-12-01,100,11
2017-01-01,95,10
