date,remove google account from chrome,how to delete a google account
2011-01-01,1,35
2011-02-01,1,28
2011-03-01,2,29
2011-04-01,1,31
2011-05-01,1,35
2011-06-01,2,40
2011-07-01,1,51
2011-08-01,1,49
2011-09-01,2,58
2011-10-01,2,52
2011-11-01,1,52
2011-12-01,2,51
2012-01-01,2,61
2012-02-01,1,41
2012-03-01,2,41
2012-04-01,3,43
2012-05-01,1,46
2012-06-01,3,50
2012-07-01,4,57
2012-08-01,3,70
2012-09-01,2,58
2012-10-01,2,43
2012-11-01,3,50
2012-12-01,3,58
2013-01-01,3,61
2013-02-01,2,60
2013-03-01,2,53
2013-04-01,3,62
2013-05-01,3,67
2013-06-01,3,68
2013-07-01,3,80
2013-08-01,4,74
2013-09-01,3,70
2013-10-01,5,77
2013-11-01,4,79
2013-12-01,6,84
2014-01-01,7,88
2014-02-01,6,90
2014-03-01,5,86
2014-04-01,6,82
2014-05-01,7,82
2014-06-01,7,82
2014-07-01,6,91
2014-08-01,8,89
2014-09-01,9,79
2014-10-01,8,77
2014-11-01,8,82
2014-12-01,8,76
2015-01-01,9,79
2015-02-01,11,71
2015-03-01,10,70
2015-04-01,9,70
2015-05-01,11,74
2015-06-01,10,79
2015-07-01,11,80
2015-08-01,12,87
2015-09-01,14,79
2015-10-01,12,77
2015-11-01,10,76
2015-12-01,10,78
2016-01-01,13,93
2016-02-01,10,76
2016-03-01,9,73
2016-04-01,8,81
2016-05-01,8,77
2016-06-01,9,78
2016-07-01,11,100
2016-08-01,14,96
2016-09-01,15,84
2016-10-01,13,84
2016-11-01,15,81
2016-12-01,13,97
2017-01-01,12,94
