date,instagram hacked email changed,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,0,1
2011-11-01,0,3
2011-12-01,0,2
2012-01-01,0,3
2012-02-01,0,3
2012-03-01,0,3
2012-04-01,0,8
2012-05-01,0,10
2012-06-01,0,14
2012-07-01,0,19
2012-08-01,1,24
2012-09-01,0,21
2012-10-01,0,22
2012-11-01,0,22
2012-12-01,0,28
2013-01-01,0,37
2013-02-01,0,40
2013-03-01,1,30
2013-04-01,1,34
2013-05-01,2,33
2013-06-01,1,52
2013-07-01,1,42
2013-08-01,3,46
2013-09-01,2,28
2013-10-01,1,32
2013-11-01,1,30
2013-12-01,2,46
2014-01-01,2,44
2014-02-01,1,41
2014-03-01,1,42
2014-04-01,2,50
2014-05-01,1,42
2014-06-01,1,50
2014-07-01,1,58
2014-08-01,2,48
2014-09-01,2,40
2014-10-01,2,39
2014-11-01,1,47
2014-12-01,1,62
2015-01-01,2,67
2015-02-01,1,56
2015-03-01,1,60
2015-04-01,1,70
2015-05-01,2,54
2015-06-01,2,60
2015-07-01,3,90
2015-08-01,2,82
2015-09-01,1,67
2015-10-01,2,63
2015-11-01,2,61
2015-12-01,2,66
2016-01-01,3,89
2016-02-01,3,72
2016-03-01,2,87
2016-04-01,3,71
2016-05-01,4,76
2016-06-01,6,95
2016-07-01,5,98
2016-08-01,5,81
2016-09-01,5,72
2016-10-01,5,79
2016-11-01,4,88
2016-12-01,6,100
2017-01-01,6,99
