date,twitter registration,how to delete a twitter account
2011-01-01,40,10
2011-02-01,39,13
2011-03-01,43,18
2011-04-01,51,12
2011-05-01,42,20
2011-06-01,45,20
2011-07-01,53,32
2011-08-01,56,25
2011-09-01,55,23
2011-10-01,40,29
2011-11-01,51,34
2011-12-01,45,35
2012-01-01,55,40
2012-02-01,53,36
2012-03-01,56,39
2012-04-01,54,43
2012-05-01,61,39
2012-06-01,56,48
2012-07-01,59,46
2012-08-01,63,65
2012-09-01,69,58
2012-10-01,68,54
2012-11-01,59,52
2012-12-01,48,54
2013-01-01,54,68
2013-02-01,51,74
2013-03-01,54,54
2013-04-01,51,50
2013-05-01,53,57
2013-06-01,62,60
2013-07-01,60,59
2013-08-01,65,54
2013-09-01,50,54
2013-10-01,51,51
2013-11-01,51,51
2013-12-01,47,51
2014-01-01,50,67
2014-02-01,53,74
2014-03-01,52,66
2014-04-01,47,61
2014-05-01,45,55
2014-06-01,51,66
2014-07-01,49,74
2014-08-01,56,68
2014-09-01,55,63
2014-10-01,59,69
2014-11-01,45,63
2014-12-01,47,70
2015-01-01,47,83
2015-02-01,46,66
2015-03-01,43,63
2015-04-01,44,63
2015-05-01,37,73
2015-06-01,34,100
2015-07-01,40,73
2015-08-01,39,65
2015-09-01,49,65
2015-10-01,38,73
2015-11-01,36,71
2015-12-01,31,70
2016-01-01,41,71
2016-02-01,40,54
2016-03-01,40,60
2016-04-01,39,61
2016-05-01,33,65
2016-06-01,38,62
2016-07-01,36,67
2016-08-01,34,68
2016-09-01,42,61
2016-10-01,48,57
2016-11-01,35,57
2016-12-01,25,58
2017-01-01,36,71
