date,twitter trending,how to delete a twitter account
2011-01-01,24,1
2011-02-01,27,1
2011-03-01,32,2
2011-04-01,33,1
2011-05-01,54,2
2011-06-01,42,2
2011-07-01,42,4
2011-08-01,40,3
2011-09-01,37,3
2011-10-01,44,3
2011-11-01,45,4
2011-12-01,45,4
2012-01-01,49,5
2012-02-01,50,4
2012-03-01,46,5
2012-04-01,50,5
2012-05-01,51,5
2012-06-01,46,6
2012-07-01,42,5
2012-08-01,39,8
2012-09-01,38,7
2012-10-01,38,6
2012-11-01,37,6
2012-12-01,37,6
2013-01-01,34,8
2013-02-01,32,9
2013-03-01,28,6
2013-04-01,36,6
2013-05-01,29,7
2013-06-01,31,7
2013-07-01,30,7
2013-08-01,30,6
2013-09-01,29,6
2013-10-01,25,6
2013-11-01,26,6
2013-12-01,27,6
2014-01-01,30,8
2014-02-01,34,9
2014-03-01,33,8
2014-04-01,31,7
2014-05-01,33,6
2014-06-01,32,8
2014-07-01,37,9
2014-08-01,36,8
2014-09-01,37,7
2014-10-01,33,8
2014-11-01,37,7
2014-12-01,31,8
2015-01-01,42,10
2015-02-01,47,8
2015-03-01,44,7
2015-04-01,41,7
2015-05-01,40,9
2015-06-01,37,12
2015-07-01,46,9
2015-08-01,56,8
2015-09-01,100,8
2015-10-01,65,9
2015-11-01,50,8
2015-12-01,43,8
2016-01-01,43,8
2016-02-01,43,6
2016-03-01,40,7
2016-04-01,46,7
2016-05-01,45,8
2016-06-01,39,7
2016-07-01,48,8
2016-08-01,47,8
2016-09-01,45,7
2016-10-01,48,7
2016-11-01,56,7
2016-12-01,40,7
2017-01-01,52,8
