date,google hangouts desktop,google hangouts privacy
2011-01-01,0,1
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,1,1
2011-08-01,1,1
2011-09-01,1,1
2011-10-01,1,1
2011-11-01,1,1
2011-12-01,1,1
2012-01-01,1,1
2012-02-01,1,1
2012-03-01,1,2
2012-04-01,1,1
2012-05-01,1,1
2012-06-01,1,1
2012-07-01,1,1
2012-08-01,1,1
2012-09-01,2,1
2012-10-01,2,1
2012-11-01,2,1
2012-12-01,1,1
2013-01-01,1,1
2013-02-01,2,1
2013-03-01,1,1
2013-04-01,1,1
2013-05-01,33,2
2013-06-01,22,2
2013-07-01,21,1
2013-08-01,25,2
2013-09-01,18,1
2013-10-01,24,1
2013-11-01,32,2
2013-12-01,29,3
2014-01-01,29,2
2014-02-01,28,2
2014-03-01,32,2
2014-04-01,28,3
2014-05-01,30,1
2014-06-01,30,2
2014-07-01,30,1
2014-08-01,31,2
2014-09-01,34,2
2014-10-01,45,3
2014-11-01,41,1
2014-12-01,40,2
2015-01-01,44,3
2015-02-01,67,2
2015-03-01,62,1
2015-04-01,53,4
2015-05-01,55,2
2015-06-01,55,1
2015-07-01,50,2
2015-08-01,69,1
2015-09-01,75,1
2015-10-01,67,2
2015-11-01,58,1
2015-12-01,61,1
2016-01-01,74,1
2016-02-01,85,1
2016-03-01,53,2
2016-04-01,54,1
2016-05-01,79,0
2016-06-01,83,2
2016-07-01,60,2
2016-08-01,71,2
2016-09-01,100,1
2016-10-01,91,2
2016-11-01,68,2
2016-12-01,45,1
2017-01-01,47,1
