date,android encryption app,encrypted phone calls
2011-01-01,30,6
2011-02-01,36,7
2011-03-01,46,8
2011-04-01,25,12
2011-05-01,33,6
2011-06-01,38,12
2011-07-01,53,18
2011-08-01,50,6
2011-09-01,47,5
2011-10-01,55,8
2011-11-01,45,13
2011-12-01,29,5
2012-01-01,27,7
2012-02-01,41,10
2012-03-01,40,8
2012-04-01,54,17
2012-05-01,48,12
2012-06-01,57,9
2012-07-01,52,9
2012-08-01,68,11
2012-09-01,74,16
2012-10-01,56,8
2012-11-01,46,8
2012-12-01,59,10
2013-01-01,61,9
2013-02-01,56,6
2013-03-01,58,9
2013-04-01,69,8
2013-05-01,57,11
2013-06-01,71,25
2013-07-01,47,22
2013-08-01,65,19
2013-09-01,64,13
2013-10-01,69,14
2013-11-01,57,19
2013-12-01,59,14
2014-01-01,74,13
2014-02-01,67,18
2014-03-01,73,22
2014-04-01,72,11
2014-05-01,54,11
2014-06-01,61,17
2014-07-01,80,17
2014-08-01,75,13
2014-09-01,71,17
2014-10-01,96,13
2014-11-01,60,18
2014-12-01,74,10
2015-01-01,73,14
2015-02-01,75,19
2015-03-01,66,14
2015-04-01,67,22
2015-05-01,61,12
2015-06-01,61,11
2015-07-01,65,12
2015-08-01,63,17
2015-09-01,58,23
2015-10-01,59,12
2015-11-01,76,17
2015-12-01,83,19
2016-01-01,83,15
2016-02-01,100,19
2016-03-01,87,22
2016-04-01,71,26
2016-05-01,74,17
2016-06-01,66,23
2016-07-01,78,19
2016-08-01,76,20
2016-09-01,74,30
2016-10-01,56,12
2016-11-01,71,15
2016-12-01,81,21
2017-01-01,59,20
