date,decrypt pgp file,best private messaging app
2011-01-01,59,0
2011-02-01,62,0
2011-03-01,56,0
2011-04-01,55,0
2011-05-01,52,0
2011-06-01,26,0
2011-07-01,31,0
2011-08-01,66,0
2011-09-01,56,12
2011-10-01,42,11
2011-11-01,100,11
2011-12-01,34,10
2012-01-01,49,10
2012-02-01,58,10
2012-03-01,54,10
2012-04-01,64,21
2012-05-01,76,10
2012-06-01,65,10
2012-07-01,78,10
2012-08-01,80,10
2012-09-01,90,10
2012-10-01,54,15
2012-11-01,49,12
2012-12-01,67,18
2013-01-01,56,25
2013-02-01,67,9
2013-03-01,35,14
2013-04-01,78,8
2013-05-01,62,8
2013-06-01,75,8
2013-07-01,87,16
2013-08-01,70,8
2013-09-01,42,8
2013-10-01,63,15
2013-11-01,48,15
2013-12-01,54,7
2014-01-01,43,7
2014-02-01,83,8
2014-03-01,80,14
2014-04-01,41,15
2014-05-01,56,7
2014-06-01,76,20
2014-07-01,72,16
2014-08-01,77,19
2014-09-01,76,25
2014-10-01,99,22
2014-11-01,82,20
2014-12-01,66,19
2015-01-01,55,11
2015-02-01,74,30
2015-03-01,70,14
2015-04-01,57,9
2015-05-01,56,16
2015-06-01,64,14
2015-07-01,56,20
2015-08-01,78,27
2015-09-01,100,7
2015-10-01,54,25
2015-11-01,64,15
2015-12-01,67,24
2016-01-01,51,18
2016-02-01,73,15
2016-03-01,81,21
2016-04-01,75,12
2016-05-01,84,31
2016-06-01,61,10
2016-07-01,86,12
2016-08-01,97,33
2016-09-01,73,27
2016-10-01,67,31
2016-11-01,66,31
2016-12-01,40,20
2017-01-01,56,31
