date,how to hack gmail account on android,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,20,0
2011-04-01,22,0
2011-05-01,20,0
2011-06-01,21,0
2011-07-01,21,0
2011-08-01,19,0
2011-09-01,19,0
2011-10-01,27,0
2011-11-01,37,19
2011-12-01,22,17
2012-01-01,22,17
2012-02-01,26,25
2012-03-01,17,33
2012-04-01,17,17
2012-05-01,16,16
2012-06-01,25,17
2012-07-01,24,17
2012-08-01,37,33
2012-09-01,16,30
2012-10-01,36,30
2012-11-01,14,15
2012-12-01,19,15
2013-01-01,21,14
2013-02-01,22,15
2013-03-01,13,13
2013-04-01,13,20
2013-05-01,30,31
2013-06-01,18,41
2013-07-01,32,40
2013-08-01,30,31
2013-09-01,30,13
2013-10-01,12,25
2013-11-01,12,33
2013-12-01,25,34
2014-01-01,15,31
2014-02-01,38,38
2014-03-01,41,69
2014-04-01,12,36
2014-05-01,31,54
2014-06-01,52,31
2014-07-01,34,39
2014-08-01,13,35
2014-09-01,30,50
2014-10-01,41,43
2014-11-01,20,12
2014-12-01,46,28
2015-01-01,18,49
2015-02-01,39,32
2015-03-01,32,30
2015-04-01,40,28
2015-05-01,54,51
2015-06-01,40,26
2015-07-01,50,40
2015-08-01,36,36
2015-09-01,45,50
2015-10-01,46,34
2015-11-01,44,41
2015-12-01,51,21
2016-01-01,39,30
2016-02-01,39,33
2016-03-01,45,37
2016-04-01,38,19
2016-05-01,45,23
2016-06-01,44,15
2016-07-01,31,29
2016-08-01,62,24
2016-09-01,52,35
2016-10-01,75,33
2016-11-01,100,27
2016-12-01,85,36
2017-01-01,72,20
