date,anonymous web surfing,best anonymous browser
2011-01-01,100,3
2011-02-01,76,10
2011-03-01,75,5
2011-04-01,77,9
2011-05-01,62,9
2011-06-01,69,9
2011-07-01,68,6
2011-08-01,63,2
2011-09-01,51,4
2011-10-01,55,8
2011-11-01,55,7
2011-12-01,60,4
2012-01-01,59,8
2012-02-01,51,4
2012-03-01,62,7
2012-04-01,53,3
2012-05-01,52,7
2012-06-01,42,5
2012-07-01,46,5
2012-08-01,43,11
2012-09-01,59,4
2012-10-01,60,10
2012-11-01,53,11
2012-12-01,44,3
2013-01-01,34,9
2013-02-01,37,8
2013-03-01,39,10
2013-04-01,38,11
2013-05-01,29,10
2013-06-01,49,12
2013-07-01,36,6
2013-08-01,32,13
2013-09-01,34,3
2013-10-01,37,10
2013-11-01,34,10
2013-12-01,30,15
2014-01-01,27,15
2014-02-01,34,10
2014-03-01,30,12
2014-04-01,35,7
2014-05-01,27,6
2014-06-01,38,10
2014-07-01,39,7
2014-08-01,30,13
2014-09-01,25,10
2014-10-01,26,9
2014-11-01,19,10
2014-12-01,22,15
2015-01-01,24,12
2015-02-01,16,10
2015-03-01,17,14
2015-04-01,20,7
2015-05-01,22,8
2015-06-01,21,9
2015-07-01,16,13
2015-08-01,24,20
2015-09-01,15,12
2015-10-01,19,13
2015-11-01,13,13
2015-12-01,17,11
2016-01-01,19,10
2016-02-01,11,9
2016-03-01,9,11
2016-04-01,10,12
2016-05-01,12,8
2016-06-01,13,14
2016-07-01,17,9
2016-08-01,12,11
2016-09-01,11,7
2016-10-01,9,7
2016-11-01,8,8
2016-12-01,9,10
2017-01-01,8,14
