date,orweb android,best anonymous browser
2011-01-01,9,16
2011-02-01,11,27
2011-03-01,13,21
2011-04-01,10,29
2011-05-01,9,36
2011-06-01,9,32
2011-07-01,9,25
2011-08-01,17,14
2011-09-01,17,11
2011-10-01,32,24
2011-11-01,16,24
2011-12-01,19,16
2012-01-01,20,32
2012-02-01,33,18
2012-03-01,17,24
2012-04-01,10,10
2012-05-01,26,21
2012-06-01,36,31
2012-07-01,36,19
2012-08-01,19,33
2012-09-01,37,14
2012-10-01,29,38
2012-11-01,26,34
2012-12-01,11,17
2013-01-01,39,33
2013-02-01,34,28
2013-03-01,28,32
2013-04-01,41,35
2013-05-01,26,36
2013-06-01,52,37
2013-07-01,40,27
2013-08-01,62,47
2013-09-01,41,39
2013-10-01,62,39
2013-11-01,66,36
2013-12-01,85,43
2014-01-01,62,50
2014-02-01,77,33
2014-03-01,64,36
2014-04-01,63,22
2014-05-01,69,36
2014-06-01,72,30
2014-07-01,67,28
2014-08-01,67,39
2014-09-01,61,41
2014-10-01,66,36
2014-11-01,94,38
2014-12-01,67,44
2015-01-01,83,40
2015-02-01,97,28
2015-03-01,79,41
2015-04-01,87,35
2015-05-01,79,27
2015-06-01,75,34
2015-07-01,65,46
2015-08-01,85,67
2015-09-01,91,43
2015-10-01,69,47
2015-11-01,76,48
2015-12-01,100,33
2016-01-01,90,46
2016-02-01,48,34
2016-03-01,84,37
2016-04-01,72,46
2016-05-01,62,25
2016-06-01,66,44
2016-07-01,77,39
2016-08-01,65,38
2016-09-01,54,31
2016-10-01,56,29
2016-11-01,44,34
2016-12-01,53,30
2017-01-01,59,44
