date,incognito meaning,search without history
2011-01-01,15,7
2011-02-01,11,5
2011-03-01,13,4
2011-04-01,13,5
2011-05-01,14,4
2011-06-01,17,6
2011-07-01,17,6
2011-08-01,18,4
2011-09-01,16,7
2011-10-01,16,4
2011-11-01,17,6
2011-12-01,15,4
2012-01-01,14,5
2012-02-01,19,7
2012-03-01,16,5
2012-04-01,15,7
2012-05-01,23,6
2012-06-01,11,7
2012-07-01,20,7
2012-08-01,15,7
2012-09-01,17,6
2012-10-01,23,7
2012-11-01,21,5
2012-12-01,21,6
2013-01-01,25,8
2013-02-01,23,7
2013-03-01,24,8
2013-04-01,30,6
2013-05-01,25,6
2013-06-01,24,9
2013-07-01,25,7
2013-08-01,25,9
2013-09-01,27,9
2013-10-01,23,8
2013-11-01,49,9
2013-12-01,27,7
2014-01-01,30,8
2014-02-01,32,9
2014-03-01,27,8
2014-04-01,26,9
2014-05-01,29,7
2014-06-01,23,8
2014-07-01,33,8
2014-08-01,33,7
2014-09-01,34,9
2014-10-01,32,12
2014-11-01,33,8
2014-12-01,32,10
2015-01-01,51,11
2015-02-01,53,7
2015-03-01,44,9
2015-04-01,49,10
2015-05-01,50,10
2015-06-01,58,9
2015-07-01,77,9
2015-08-01,77,10
2015-09-01,73,10
2015-10-01,60,9
2015-11-01,64,9
2015-12-01,68,10
2016-01-01,73,10
2016-02-01,72,13
2016-03-01,68,11
2016-04-01,76,11
2016-05-01,94,9
2016-06-01,100,11
2016-07-01,95,10
2016-08-01,87,12
2016-09-01,96,11
2016-10-01,83,9
2016-11-01,99,10
2016-12-01,76,9
2017-01-01,76,12
