date,incognito mode shortcut,search without history
2011-01-01,10,53
2011-02-01,6,37
2011-03-01,10,27
2011-04-01,9,35
2011-05-01,14,29
2011-06-01,15,44
2011-07-01,6,48
2011-08-01,15,30
2011-09-01,14,51
2011-10-01,10,33
2011-11-01,16,49
2011-12-01,10,29
2012-01-01,12,38
2012-02-01,18,52
2012-03-01,26,42
2012-04-01,16,56
2012-05-01,15,43
2012-06-01,20,53
2012-07-01,17,52
2012-08-01,18,53
2012-09-01,35,48
2012-10-01,28,55
2012-11-01,37,41
2012-12-01,22,46
2013-01-01,23,60
2013-02-01,15,55
2013-03-01,32,59
2013-04-01,23,47
2013-05-01,37,43
2013-06-01,25,67
2013-07-01,59,52
2013-08-01,34,69
2013-09-01,28,70
2013-10-01,37,59
2013-11-01,33,66
2013-12-01,39,51
2014-01-01,36,62
2014-02-01,32,66
2014-03-01,37,64
2014-04-01,36,67
2014-05-01,17,57
2014-06-01,37,61
2014-07-01,54,65
2014-08-01,43,53
2014-09-01,36,72
2014-10-01,42,95
2014-11-01,46,60
2014-12-01,34,78
2015-01-01,30,87
2015-02-01,37,55
2015-03-01,34,74
2015-04-01,39,80
2015-05-01,34,77
2015-06-01,37,72
2015-07-01,38,72
2015-08-01,49,75
2015-09-01,59,76
2015-10-01,44,74
2015-11-01,54,72
2015-12-01,55,77
2016-01-01,50,75
2016-02-01,55,100
2016-03-01,45,84
2016-04-01,39,85
2016-05-01,56,70
2016-06-01,55,83
2016-07-01,64,75
2016-08-01,60,95
2016-09-01,44,84
2016-10-01,51,73
2016-11-01,42,76
2016-12-01,57,73
2017-01-01,75,96
