date,inprivate browsing google chrome,search without history
2011-01-01,31,53
2011-02-01,17,37
2011-03-01,14,27
2011-04-01,21,35
2011-05-01,33,29
2011-06-01,36,44
2011-07-01,32,48
2011-08-01,45,30
2011-09-01,44,51
2011-10-01,42,33
2011-11-01,44,49
2011-12-01,27,29
2012-01-01,25,38
2012-02-01,24,52
2012-03-01,33,42
2012-04-01,35,56
2012-05-01,40,43
2012-06-01,45,53
2012-07-01,29,52
2012-08-01,23,53
2012-09-01,36,48
2012-10-01,36,55
2012-11-01,22,41
2012-12-01,35,46
2013-01-01,23,60
2013-02-01,39,55
2013-03-01,26,59
2013-04-01,19,47
2013-05-01,23,43
2013-06-01,18,67
2013-07-01,24,52
2013-08-01,22,69
2013-09-01,22,70
2013-10-01,15,59
2013-11-01,26,66
2013-12-01,16,51
2014-01-01,18,62
2014-02-01,17,66
2014-03-01,13,64
2014-04-01,15,67
2014-05-01,18,57
2014-06-01,16,61
2014-07-01,22,65
2014-08-01,19,53
2014-09-01,17,72
2014-10-01,21,95
2014-11-01,11,60
2014-12-01,17,78
2015-01-01,12,87
2015-02-01,18,55
2015-03-01,11,74
2015-04-01,16,80
2015-05-01,5,77
2015-06-01,8,72
2015-07-01,8,72
2015-08-01,14,75
2015-09-01,6,76
2015-10-01,15,74
2015-11-01,4,72
2015-12-01,14,77
2016-01-01,14,75
2016-02-01,10,100
2016-03-01,8,84
2016-04-01,7,85
2016-05-01,15,70
2016-06-01,10,83
2016-07-01,9,75
2016-08-01,10,95
2016-09-01,4,84
2016-10-01,6,73
2016-11-01,3,76
2016-12-01,3,73
2017-01-01,3,96
