date,private browsing safari iphone,search without history
2011-01-01,8,23
2011-02-01,12,16
2011-03-01,11,12
2011-04-01,10,15
2011-05-01,15,13
2011-06-01,13,19
2011-07-01,16,21
2011-08-01,17,13
2011-09-01,14,22
2011-10-01,51,14
2011-11-01,43,21
2011-12-01,44,13
2012-01-01,50,17
2012-02-01,55,23
2012-03-01,46,18
2012-04-01,30,25
2012-05-01,40,19
2012-06-01,30,23
2012-07-01,26,23
2012-08-01,26,23
2012-09-01,40,21
2012-10-01,30,24
2012-11-01,29,18
2012-12-01,36,20
2013-01-01,37,26
2013-02-01,35,24
2013-03-01,33,26
2013-04-01,30,20
2013-05-01,29,19
2013-06-01,34,29
2013-07-01,38,23
2013-08-01,34,30
2013-09-01,100,31
2013-10-01,77,26
2013-11-01,57,29
2013-12-01,66,22
2014-01-01,57,27
2014-02-01,52,29
2014-03-01,48,28
2014-04-01,47,29
2014-05-01,56,25
2014-06-01,46,26
2014-07-01,51,28
2014-08-01,46,23
2014-09-01,56,31
2014-10-01,52,41
2014-11-01,47,26
2014-12-01,43,34
2015-01-01,40,38
2015-02-01,40,24
2015-03-01,28,32
2015-04-01,33,35
2015-05-01,34,34
2015-06-01,31,31
2015-07-01,33,31
2015-08-01,28,33
2015-09-01,35,33
2015-10-01,35,32
2015-11-01,32,31
2015-12-01,40,34
2016-01-01,39,33
2016-02-01,37,44
2016-03-01,27,37
2016-04-01,33,37
2016-05-01,28,31
2016-06-01,34,36
2016-07-01,32,33
2016-08-01,31,41
2016-09-01,36,37
2016-10-01,36,32
2016-11-01,35,33
2016-12-01,37,32
2017-01-01,32,42
