date,private internet browsing,how to browse anonymously
2011-01-01,83,9
2011-02-01,70,7
2011-03-01,65,5
2011-04-01,93,7
2011-05-01,88,5
2011-06-01,100,12
2011-07-01,83,10
2011-08-01,76,12
2011-09-01,76,12
2011-10-01,71,10
2011-11-01,84,8
2011-12-01,67,8
2012-01-01,75,12
2012-02-01,73,13
2012-03-01,78,12
2012-04-01,73,8
2012-05-01,84,11
2012-06-01,80,11
2012-07-01,76,14
2012-08-01,84,10
2012-09-01,69,14
2012-10-01,75,10
2012-11-01,67,15
2012-12-01,64,12
2013-01-01,68,14
2013-02-01,62,12
2013-03-01,62,10
2013-04-01,67,12
2013-05-01,64,13
2013-06-01,67,13
2013-07-01,75,8
2013-08-01,82,13
2013-09-01,76,11
2013-10-01,77,10
2013-11-01,65,7
2013-12-01,68,14
2014-01-01,69,14
2014-02-01,67,16
2014-03-01,77,12
2014-04-01,65,18
2014-05-01,66,11
2014-06-01,55,16
2014-07-01,63,21
2014-08-01,58,13
2014-09-01,76,12
2014-10-01,65,15
2014-11-01,68,13
2014-12-01,61,15
2015-01-01,62,15
2015-02-01,62,13
2015-03-01,58,12
2015-04-01,51,17
2015-05-01,54,11
2015-06-01,54,8
2015-07-01,54,13
2015-08-01,66,21
2015-09-01,55,16
2015-10-01,49,15
2015-11-01,50,12
2015-12-01,46,10
2016-01-01,34,10
2016-02-01,49,14
2016-03-01,38,13
2016-04-01,47,8
2016-05-01,45,7
2016-06-01,35,11
2016-07-01,37,14
2016-08-01,35,10
2016-09-01,37,10
2016-10-01,33,9
2016-11-01,39,11
2016-12-01,34,14
2017-01-01,33,11
