date,Instagram setting,how to change instagram privacy settings
2011-01-01,1,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,1,0
2011-06-01,1,0
2011-07-01,4,0
2011-08-01,2,0
2011-09-01,4,0
2011-10-01,3,0
2011-11-01,4,0
2011-12-01,3,0
2012-01-01,6,1
2012-02-01,8,0
2012-03-01,9,0
2012-04-01,28,3
2012-05-01,27,2
2012-06-01,17,1
2012-07-01,15,1
2012-08-01,23,3
2012-09-01,46,20
2012-10-01,37,13
2012-11-01,26,8
2012-12-01,40,12
2013-01-01,31,13
2013-02-01,43,9
2013-03-01,37,9
2013-04-01,36,6
2013-05-01,35,7
2013-06-01,29,8
2013-07-01,34,11
2013-08-01,36,5
2013-09-01,42,10
2013-10-01,45,6
2013-11-01,41,4
2013-12-01,46,5
2014-01-01,49,6
2014-02-01,48,6
2014-03-01,43,5
2014-04-01,57,6
2014-05-01,50,4
2014-06-01,41,5
2014-07-01,49,9
2014-08-01,50,5
2014-09-01,53,5
2014-10-01,54,7
2014-11-01,53,5
2014-12-01,60,4
2015-01-01,59,6
2015-02-01,54,3
2015-03-01,51,3
2015-04-01,57,5
2015-05-01,50,2
2015-06-01,49,2
2015-07-01,57,2
2015-08-01,58,3
2015-09-01,57,4
2015-10-01,59,2
2015-11-01,53,2
2015-12-01,72,2
2016-01-01,66,3
2016-02-01,73,2
2016-03-01,73,2
2016-04-01,60,2
2016-05-01,70,2
2016-06-01,82,2
2016-07-01,79,5
2016-08-01,93,3
2016-09-01,94,1
2016-10-01,94,2
2016-11-01,92,1
2016-12-01,98,2
2017-01-01,100,3
