date,privacy settings for instagram ,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,7,0
2012-01-01,0,7
2012-02-01,7,0
2012-03-01,7,7
2012-04-01,14,7
2012-05-01,13,32
2012-06-01,7,13
2012-07-01,6,6
2012-08-01,10,17
2012-09-01,55,100
2012-10-01,38,86
2012-11-01,31,53
2012-12-01,43,74
2013-01-01,27,43
2013-02-01,18,35
2013-03-01,16,52
2013-04-01,14,34
2013-05-01,17,38
2013-06-01,21,48
2013-07-01,19,45
2013-08-01,34,50
2013-09-01,15,41
2013-10-01,14,35
2013-11-01,11,26
2013-12-01,20,49
2014-01-01,17,38
2014-02-01,15,40
2014-03-01,13,40
2014-04-01,7,29
2014-05-01,14,36
2014-06-01,9,40
2014-07-01,13,44
2014-08-01,13,29
2014-09-01,8,29
2014-10-01,15,46
2014-11-01,13,24
2014-12-01,9,26
2015-01-01,9,25
2015-02-01,8,19
2015-03-01,10,21
2015-04-01,0,25
2015-05-01,9,11
2015-06-01,7,13
2015-07-01,10,24
2015-08-01,11,11
2015-09-01,14,15
2015-10-01,9,17
2015-11-01,9,22
2015-12-01,7,14
2016-01-01,10,16
2016-02-01,15,19
2016-03-01,7,11
2016-04-01,9,8
2016-05-01,11,13
2016-06-01,5,15
2016-07-01,9,23
2016-08-01,7,20
2016-09-01,10,17
2016-10-01,7,14
2016-11-01,7,13
2016-12-01,7,15
2017-01-01,11,18
