date,snapchat privacy settings,who can see my snapchat story
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,0,0
2012-11-01,4,0
2012-12-01,4,0
2013-01-01,6,0
2013-02-01,4,0
2013-03-01,8,0
2013-04-01,4,0
2013-05-01,0,0
2013-06-01,12,0
2013-07-01,6,0
2013-08-01,17,0
2013-09-01,17,0
2013-10-01,9,20
2013-11-01,11,13
2013-12-01,24,18
2014-01-01,12,30
2014-02-01,9,18
2014-03-01,8,23
2014-04-01,10,39
2014-05-01,14,33
2014-06-01,11,25
2014-07-01,7,32
2014-08-01,6,30
2014-09-01,20,36
2014-10-01,19,34
2014-11-01,10,30
2014-12-01,17,26
2015-01-01,10,31
2015-02-01,5,31
2015-03-01,13,38
2015-04-01,13,37
2015-05-01,16,43
2015-06-01,6,43
2015-07-01,8,100
2015-08-01,8,36
2015-09-01,9,37
2015-10-01,24,36
2015-11-01,22,36
2015-12-01,12,37
2016-01-01,13,40
2016-02-01,23,36
2016-03-01,21,49
2016-04-01,15,47
2016-05-01,20,51
2016-06-01,15,42
2016-07-01,13,45
2016-08-01,18,49
2016-09-01,18,56
2016-10-01,22,49
2016-11-01,18,43
2016-12-01,14,60
2017-01-01,26,67
