date,snapchat privacy,who can see my snapchat story
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,1,0
2012-08-01,0,0
2012-09-01,1,0
2012-10-01,2,0
2012-11-01,2,0
2012-12-01,3,0
2013-01-01,3,0
2013-02-01,3,0
2013-03-01,2,0
2013-04-01,3,0
2013-05-01,5,0
2013-06-01,7,0
2013-07-01,7,0
2013-08-01,7,0
2013-09-01,7,0
2013-10-01,7,4
2013-11-01,7,4
2013-12-01,10,5
2014-01-01,15,4
2014-02-01,9,4
2014-03-01,11,3
2014-04-01,10,4
2014-05-01,22,5
2014-06-01,10,3
2014-07-01,11,5
2014-08-01,12,4
2014-09-01,14,7
2014-10-01,14,3
2014-11-01,28,3
2014-12-01,14,5
2015-01-01,13,3
2015-02-01,15,4
2015-03-01,12,5
2015-04-01,11,6
2015-05-01,12,7
2015-06-01,10,6
2015-07-01,10,11
2015-08-01,13,4
2015-09-01,17,5
2015-10-01,37,4
2015-11-01,100,5
2015-12-01,18,5
2016-01-01,16,6
2016-02-01,17,6
2016-03-01,29,6
2016-04-01,24,8
2016-05-01,22,8
2016-06-01,24,6
2016-07-01,24,7
2016-08-01,19,8
2016-09-01,22,6
2016-10-01,25,7
2016-11-01,22,7
2016-12-01,21,8
2017-01-01,25,9
