date,Youtube privacy settings,youtube private channel
2011-01-01,6,40
2011-02-01,12,45
2011-03-01,14,40
2011-04-01,8,30
2011-05-01,7,33
2011-06-01,10,49
2011-07-01,10,53
2011-08-01,15,42
2011-09-01,14,49
2011-10-01,9,44
2011-11-01,11,54
2011-12-01,18,72
2012-01-01,17,72
2012-02-01,21,74
2012-03-01,20,74
2012-04-01,17,67
2012-05-01,19,55
2012-06-01,15,66
2012-07-01,16,61
2012-08-01,18,75
2012-09-01,23,82
2012-10-01,18,61
2012-11-01,19,64
2012-12-01,26,74
2013-01-01,22,77
2013-02-01,30,85
2013-03-01,30,71
2013-04-01,17,72
2013-05-01,25,56
2013-06-01,15,79
2013-07-01,24,89
2013-08-01,23,100
2013-09-01,27,87
2013-10-01,32,76
2013-11-01,38,59
2013-12-01,28,82
2014-01-01,29,80
2014-02-01,34,86
2014-03-01,28,71
2014-04-01,26,79
2014-05-01,29,63
2014-06-01,24,59
2014-07-01,28,67
2014-08-01,28,71
2014-09-01,26,59
2014-10-01,26,52
2014-11-01,37,58
2014-12-01,25,70
2015-01-01,30,58
2015-02-01,25,74
2015-03-01,32,73
2015-04-01,30,63
2015-05-01,38,67
2015-06-01,26,63
2015-07-01,28,61
2015-08-01,29,72
2015-09-01,27,59
2015-10-01,36,58
2015-11-01,29,60
2015-12-01,29,64
2016-01-01,25,66
2016-02-01,26,55
2016-03-01,23,63
2016-04-01,27,62
2016-05-01,26,60
2016-06-01,33,62
2016-07-01,23,60
2016-08-01,26,67
2016-09-01,28,64
2016-10-01,24,60
2016-11-01,31,57
2016-12-01,20,58
2017-01-01,20,78
