date,delete my facebook account,how to delete a facebook account
2011-01-01,55,45
2011-02-01,51,38
2011-03-01,48,32
2011-04-01,49,30
2011-05-01,50,34
2011-06-01,61,38
2011-07-01,64,42
2011-08-01,83,49
2011-09-01,88,49
2011-10-01,83,51
2011-11-01,89,60
2011-12-01,99,53
2012-01-01,100,54
2012-02-01,92,56
2012-03-01,92,54
2012-04-01,69,39
2012-05-01,69,38
2012-06-01,68,41
2012-07-01,65,52
2012-08-01,65,52
2012-09-01,65,40
2012-10-01,68,35
2012-11-01,64,45
2012-12-01,61,47
2013-01-01,58,40
2013-02-01,67,39
2013-03-01,62,40
2013-04-01,58,43
2013-05-01,55,33
2013-06-01,54,35
2013-07-01,65,43
2013-08-01,65,40
2013-09-01,52,28
2013-10-01,48,32
2013-11-01,54,34
2013-12-01,63,41
2014-01-01,59,36
2014-02-01,55,29
2014-03-01,50,30
2014-04-01,52,35
2014-05-01,58,36
2014-06-01,61,32
2014-07-01,58,33
2014-08-01,58,35
2014-09-01,58,34
2014-10-01,50,31
2014-11-01,53,31
2014-12-01,57,34
2015-01-01,55,35
2015-02-01,57,34
2015-03-01,55,34
2015-04-01,53,40
2015-05-01,53,32
2015-06-01,61,30
2015-07-01,60,36
2015-08-01,66,42
2015-09-01,59,33
2015-10-01,54,27
2015-11-01,52,27
2015-12-01,53,30
2016-01-01,62,37
2016-02-01,56,36
2016-03-01,56,29
2016-04-01,54,31
2016-05-01,56,30
2016-06-01,68,42
2016-07-01,66,41
2016-08-01,56,33
2016-09-01,63,33
2016-10-01,63,33
2016-11-01,71,40
2016-12-01,68,36
2017-01-01,69,37
