date,how to delete twitter account,how to delete a twitter account
2011-01-01,11,3
2011-02-01,15,4
2011-03-01,15,6
2011-04-01,17,5
2011-05-01,19,5
2011-06-01,21,8
2011-07-01,25,9
2011-08-01,22,10
2011-09-01,20,8
2011-10-01,23,9
2011-11-01,33,12
2011-12-01,33,11
2012-01-01,41,11
2012-02-01,34,11
2012-03-01,31,12
2012-04-01,38,14
2012-05-01,39,13
2012-06-01,46,17
2012-07-01,44,18
2012-08-01,53,24
2012-09-01,54,21
2012-10-01,47,18
2012-11-01,44,17
2012-12-01,51,17
2013-01-01,65,23
2013-02-01,71,25
2013-03-01,52,18
2013-04-01,49,15
2013-05-01,63,19
2013-06-01,69,17
2013-07-01,60,19
2013-08-01,58,19
2013-09-01,72,18
2013-10-01,62,18
2013-11-01,46,17
2013-12-01,52,20
2014-01-01,76,26
2014-02-01,94,24
2014-03-01,67,20
2014-04-01,58,19
2014-05-01,62,20
2014-06-01,85,21
2014-07-01,93,26
2014-08-01,84,23
2014-09-01,75,21
2014-10-01,73,23
2014-11-01,73,22
2014-12-01,85,24
2015-01-01,87,28
2015-02-01,78,24
2015-03-01,79,22
2015-04-01,79,21
2015-05-01,81,23
2015-06-01,96,32
2015-07-01,93,25
2015-08-01,85,19
2015-09-01,83,21
2015-10-01,82,26
2015-11-01,75,22
2015-12-01,78,24
2016-01-01,79,22
2016-02-01,73,18
2016-03-01,78,20
2016-04-01,71,21
2016-05-01,70,20
2016-06-01,87,22
2016-07-01,99,21
2016-08-01,95,21
2016-09-01,76,20
2016-10-01,73,19
2016-11-01,82,19
2016-12-01,100,20
2017-01-01,98,24
