date,=+remove youtube -video,how to delete a youtube account
2011-01-01,53,3
2011-02-01,54,3
2011-03-01,54,4
2011-04-01,55,3
2011-05-01,55,3
2011-06-01,57,4
2011-07-01,59,5
2011-08-01,60,4
2011-09-01,59,6
2011-10-01,59,4
2011-11-01,61,6
2011-12-01,69,6
2012-01-01,61,6
2012-02-01,67,5
2012-03-01,69,5
2012-04-01,70,7
2012-05-01,64,6
2012-06-01,69,7
2012-07-01,69,7
2012-08-01,72,7
2012-09-01,78,5
2012-10-01,72,5
2012-11-01,70,6
2012-12-01,82,6
2013-01-01,77,7
2013-02-01,78,7
2013-03-01,79,6
2013-04-01,76,6
2013-05-01,78,6
2013-06-01,75,7
2013-07-01,79,8
2013-08-01,85,9
2013-09-01,81,6
2013-10-01,87,5
2013-11-01,94,4
2013-12-01,90,6
2014-01-01,91,7
2014-02-01,89,5
2014-03-01,90,5
2014-04-01,90,5
2014-05-01,91,5
2014-06-01,86,5
2014-07-01,89,6
2014-08-01,100,6
2014-09-01,96,4
2014-10-01,89,4
2014-11-01,96,5
2014-12-01,95,5
2015-01-01,90,5
2015-02-01,89,4
2015-03-01,92,4
2015-04-01,91,4
2015-05-01,92,5
2015-06-01,93,4
2015-07-01,98,5
2015-08-01,100,5
2015-09-01,86,4
2015-10-01,86,4
2015-11-01,83,4
2015-12-01,90,4
2016-01-01,90,4
2016-02-01,82,4
2016-03-01,82,4
2016-04-01,82,4
2016-05-01,81,3
2016-06-01,80,4
2016-07-01,88,5
2016-08-01,86,4
2016-09-01,84,3
2016-10-01,82,3
2016-11-01,79,3
2016-12-01,81,4
2017-01-01,84,4
