date,disable youtube account,how to delete a youtube account
2011-01-01,3,31
2011-02-01,3,36
2011-03-01,6,41
2011-04-01,6,33
2011-05-01,5,33
2011-06-01,7,43
2011-07-01,6,54
2011-08-01,9,51
2011-09-01,7,59
2011-10-01,7,50
2011-11-01,7,61
2011-12-01,8,65
2012-01-01,8,63
2012-02-01,5,51
2012-03-01,5,51
2012-04-01,6,65
2012-05-01,6,58
2012-06-01,9,71
2012-07-01,7,81
2012-08-01,8,81
2012-09-01,6,55
2012-10-01,6,52
2012-11-01,6,64
2012-12-01,8,62
2013-01-01,8,76
2013-02-01,6,77
2013-03-01,7,65
2013-04-01,9,67
2013-05-01,8,63
2013-06-01,7,75
2013-07-01,7,87
2013-08-01,7,100
2013-09-01,9,68
2013-10-01,9,57
2013-11-01,8,51
2013-12-01,10,64
2014-01-01,7,73
2014-02-01,8,55
2014-03-01,9,58
2014-04-01,5,56
2014-05-01,4,54
2014-06-01,7,57
2014-07-01,8,72
2014-08-01,9,65
2014-09-01,6,47
2014-10-01,6,48
2014-11-01,9,49
2014-12-01,7,54
2015-01-01,7,58
2015-02-01,7,42
2015-03-01,5,49
2015-04-01,6,48
2015-05-01,3,54
2015-06-01,7,49
2015-07-01,7,50
2015-08-01,7,48
2015-09-01,5,38
2015-10-01,5,37
2015-11-01,7,38
2015-12-01,5,42
2016-01-01,7,49
2016-02-01,5,42
2016-03-01,5,39
2016-04-01,6,41
2016-05-01,4,39
2016-06-01,6,45
2016-07-01,6,47
2016-08-01,8,43
2016-09-01,8,34
2016-10-01,8,34
2016-11-01,6,36
2016-12-01,9,44
2017-01-01,9,41
